Group (L0),Level,Is Basic,New Primary Hierarchy,New Primary Category,New Display Name,Basic Level Category,Old Primary Hierarchy,Old Primary Category,Added,Renamed,Removed,Redirect To
arts_and_entertainment,2,TRUE,arts_and_entertainment > animal_attraction > zoo,zoo,Zoo,zoo,arts_and_entertainment > animal_attraction > zoo,zoo,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > animal_attraction > zoo > petting_zoo,petting_zoo,Petting Zoo,zoo,arts_and_entertainment > animal_attraction > zoo > petting_zoo,petting_zoo,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > animal_attraction > zoo > zoo_exhibit,zoo_exhibit,Zoo Exhibit,zoo,arts_and_entertainment > animal_attraction > zoo > zoo_exhibit,zoo_exhibit,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > arts_and_crafts_space,arts_and_crafts_space,Arts and Crafts Space,arts_and_crafts_space,arts_and_entertainment > arts_and_crafts_space,arts_and_crafts_space,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > arts_and_crafts_space > art_gallery,art_gallery,Art Gallery,art_gallery,arts_and_entertainment > arts_and_crafts_space > art_gallery,art_gallery,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > arts_and_crafts_space > artist_studio,artist_studio,Artist Studio,arts_and_crafts_space,arts_and_entertainment > arts_and_crafts_space > artist_studio,artist_studio,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > arts_and_crafts_space > glass_blowing_venue,glass_blowing_venue,Glass Blowing Venue,arts_and_crafts_space,arts_and_entertainment > arts_and_crafts_space > glass_blowing_venue,glass_blowing_venue,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > arts_and_crafts_space > paint_and_sip_venue,paint_and_sip_venue,Paint and Sip Venue,arts_and_crafts_space,arts_and_entertainment > arts_and_crafts_space > paint_and_sip_venue,paint_and_sip_venue,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > arts_and_crafts_space > paint_your_own_pottery_venue,paint_your_own_pottery_venue,Paint Your Own Pottery Venue,arts_and_crafts_space,arts_and_entertainment > arts_and_crafts_space > paint_your_own_pottery_venue,paint_your_own_pottery_venue,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > arts_and_crafts_space > sculpture_park,sculpture_park,Sculpture Park,sculpture_statue,arts_and_entertainment > arts_and_crafts_space > sculpture_park,sculpture_park,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > arts_and_crafts_space > sculpture_statue,sculpture_statue,Sculpture Statue,sculpture_statue,arts_and_entertainment > arts_and_crafts_space > sculpture_statue,sculpture_statue,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > arts_and_crafts_space > street_art,street_art,Street Art,street_art,arts_and_entertainment > arts_and_crafts_space > street_art,street_art,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > event_venue,event_venue,Event Venue,event_venue,arts_and_entertainment > event_venue,event_venue,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > event_venue > auditorium,auditorium,Auditorium,event_venue,arts_and_entertainment > event_venue > auditorium,auditorium,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > event_venue > exhibition_and_trade_fair_venue,exhibition_and_trade_fair_venue,Exhibition and Trade Fair Venue,event_venue,arts_and_entertainment > event_venue > exhibition_and_trade_fair_venue,exhibition_and_trade_fair_venue,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > festival_venue,festival_venue,Festival Venue,festival_venue,arts_and_entertainment > festival_venue,festival_venue,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > festival_venue > fairgrounds,fairgrounds,Fairgrounds,fairgrounds,arts_and_entertainment > festival_venue > fairgrounds,fairgrounds,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > festival_venue > film_festival_venue,film_festival_venue,Film Festival Venue,festival_venue,arts_and_entertainment > festival_venue > film_festival_venue,film_festival_venue,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > festival_venue > music_festival_venue,music_festival_venue,Music Festival Venue,festival_venue,arts_and_entertainment > festival_venue > music_festival_venue,music_festival_venue,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > gaming_venue,gaming_venue,Gaming Venue,gaming_venue,arts_and_entertainment > gaming_venue,gaming_venue,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > gaming_venue > arcade,arcade,Arcade,arcade,arts_and_entertainment > gaming_venue > arcade,arcade,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > gaming_venue > betting_center,betting_center,Betting Center,gaming_venue,arts_and_entertainment > gaming_venue > betting_center,betting_center,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > gaming_venue > bingo_hall,bingo_hall,Bingo Hall,gaming_venue,arts_and_entertainment > gaming_venue > bingo_hall,bingo_hall,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > gaming_venue > casino,casino,Casino,casino,arts_and_entertainment > gaming_venue > casino,casino,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > gaming_venue > escape_room,escape_room,Escape Room,gaming_venue,arts_and_entertainment > gaming_venue > escape_room,escape_room,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > gaming_venue > scavenger_hunt,scavenger_hunt,Scavenger Hunt,gaming_venue,arts_and_entertainment > gaming_venue > scavenger_hunt,scavenger_hunt,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > movie_theater,movie_theater,Movie Theater,movie_theater,arts_and_entertainment > movie_theater,movie_theater,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > movie_theater > drive_in_theater,drive_in_theater,Drive In Theater,movie_theater,arts_and_entertainment > movie_theater > drive_in_theater,drive_in_theater,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > movie_theater > outdoor_movie_space,outdoor_movie_space,Outdoor Movie Space,movie_theater,arts_and_entertainment > movie_theater > outdoor_movie_space,outdoor_movie_space,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > museum,museum,Museum,museum,arts_and_entertainment > museum,museum,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > museum > art_museum,art_museum,Art Museum,museum,arts_and_entertainment > museum > art_museum,art_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > art_museum > asian_art_museum,asian_art_museum,Asian Art Museum,museum,arts_and_entertainment > museum > art_museum > asian_art_museum,asian_art_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > art_museum > cartooning_museum,cartooning_museum,Cartooning Museum,museum,arts_and_entertainment > museum > art_museum > cartooning_museum,cartooning_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > art_museum > contemporary_art_museum,contemporary_art_museum,Contemporary Art Museum,museum,arts_and_entertainment > museum > art_museum > contemporary_art_museum,contemporary_art_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > art_museum > costume_museum,costume_museum,Costume Museum,museum,arts_and_entertainment > museum > art_museum > costume_museum,costume_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > art_museum > decorative_arts_museum,decorative_arts_museum,Decorative Arts Museum,museum,arts_and_entertainment > museum > art_museum > decorative_arts_museum,decorative_arts_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > art_museum > design_museum,design_museum,Design Museum,museum,arts_and_entertainment > museum > art_museum > design_museum,design_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > art_museum > modern_art_museum,modern_art_museum,Modern Art Museum,museum,arts_and_entertainment > museum > art_museum > modern_art_museum,modern_art_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > art_museum > photography_museum,photography_museum,Photography Museum,museum,arts_and_entertainment > museum > art_museum > photography_museum,photography_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > art_museum > textile_museum,textile_museum,Textile Museum,museum,arts_and_entertainment > museum > art_museum > textile_museum,textile_museum,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > museum > aviation_museum,aviation_museum,Aviation Museum,museum,arts_and_entertainment > museum > aviation_museum,aviation_museum,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > museum > childrens_museum,childrens_museum,Children's Museum,museum,arts_and_entertainment > museum > childrens_museum,childrens_museum,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > museum > history_museum,history_museum,History Museum,museum,arts_and_entertainment > museum > history_museum,history_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > history_museum > civilization_museum,civilization_museum,Civilization Museum,museum,arts_and_entertainment > museum > history_museum > civilization_museum,civilization_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > history_museum > community_museum,community_museum,Community Museum,museum,arts_and_entertainment > museum > history_museum > community_museum,community_museum,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > museum > military_museum,military_museum,Military Museum,museum,arts_and_entertainment > museum > military_museum,military_museum,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > museum > national_museum,national_museum,National Museum,museum,arts_and_entertainment > museum > national_museum,national_museum,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > museum > science_museum,science_museum,Science Museum,museum,arts_and_entertainment > museum > science_museum,science_museum,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > museum > science_museum > computer_museum,computer_museum,Computer Museum,museum,arts_and_entertainment > museum > science_museum > computer_museum,computer_museum,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > museum > sports_museum,sports_museum,Sports Museum,museum,arts_and_entertainment > museum > sports_museum,sports_museum,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > museum > state_museum,state_museum,State Museum,museum,arts_and_entertainment > museum > state_museum,state_museum,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > nightlife_venue,nightlife_venue,Nightlife Venue,nightlife_venue,arts_and_entertainment > nightlife_venue,nightlife_venue,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > nightlife_venue > adult_entertainment_venue,adult_entertainment_venue,Adult Entertainment Venue,adult_entertainment_venue,arts_and_entertainment > nightlife_venue > adult_entertainment_venue,adult_entertainment_venue,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > nightlife_venue > adult_entertainment_venue > erotic_massage_venue,erotic_massage_venue,Erotic Massage Venue,adult_entertainment_venue,arts_and_entertainment > nightlife_venue > adult_entertainment_venue > erotic_massage_venue,erotic_massage_venue,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > nightlife_venue > adult_entertainment_venue > strip_club,strip_club,Strip Club,adult_entertainment_venue,arts_and_entertainment > nightlife_venue > adult_entertainment_venue > strip_club,strip_club,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > nightlife_venue > bar_crawl,bar_crawl,Bar Crawl,nightlife_venue,arts_and_entertainment > nightlife_venue > bar_crawl,bar_crawl,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > nightlife_venue > club_crawl,club_crawl,Club Crawl,nightlife_venue,arts_and_entertainment > nightlife_venue > club_crawl,club_crawl,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > nightlife_venue > dance_club,dance_club,Dance Club,dance_club,arts_and_entertainment > nightlife_venue > dance_club,dance_club,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > nightlife_venue > dance_club > salsa_club,salsa_club,Salsa Club,dance_club,arts_and_entertainment > nightlife_venue > dance_club > salsa_club,salsa_club,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > performing_arts_venue,performing_arts_venue,Performing Arts Venue,performing_arts_venue,arts_and_entertainment > performing_arts_venue,performing_arts_venue,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > performing_arts_venue > amphitheater,amphitheater,Amphitheater,performing_arts_venue,arts_and_entertainment > performing_arts_venue > amphitheater,amphitheater,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > performing_arts_venue > cabaret,cabaret,Cabaret,performing_arts_venue,arts_and_entertainment > performing_arts_venue > cabaret,cabaret,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > performing_arts_venue > comedy_club,comedy_club,Comedy Club,comedy_club,arts_and_entertainment > performing_arts_venue > comedy_club,comedy_club,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > performing_arts_venue > music_venue,music_venue,Music Venue,music_venue,arts_and_entertainment > performing_arts_venue > music_venue,music_venue,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > performing_arts_venue > music_venue > band_orchestra_symphony,band_orchestra_symphony,Band Orchestra Symphony,music_venue,arts_and_entertainment > performing_arts_venue > music_venue > band_orchestra_symphony,band_orchestra_symphony,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > performing_arts_venue > music_venue > choir,choir,Choir,music_venue,arts_and_entertainment > performing_arts_venue > music_venue > choir,choir,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > performing_arts_venue > music_venue > jazz_and_blues_venue,jazz_and_blues_venue,Jazz and Blues Venue,music_venue,arts_and_entertainment > performing_arts_venue > music_venue > jazz_and_blues_venue,jazz_and_blues_venue,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > performing_arts_venue > music_venue > karaoke_venue,karaoke_venue,Karaoke Venue,music_venue,arts_and_entertainment > performing_arts_venue > music_venue > karaoke_venue,karaoke_venue,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > performing_arts_venue > music_venue > opera_and_ballet,opera_and_ballet,Opera and Ballet,performing_arts_venue,arts_and_entertainment > performing_arts_venue > music_venue > opera_and_ballet,opera_and_ballet,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > performing_arts_venue > theatre_venue,theatre_venue,Theatre Venue,theatre_venue,arts_and_entertainment > performing_arts_venue > theatre_venue,theatre_venue,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > performing_arts_venue > theatre_venue > dinner_theater,dinner_theater,Dinner Theater,theatre_venue,arts_and_entertainment > performing_arts_venue > theatre_venue > dinner_theater,dinner_theater,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > rural_attraction,rural_attraction,Rural Attraction,rural_attraction,arts_and_entertainment > rural_attraction,rural_attraction,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > rural_attraction > attraction_farm,attraction_farm,Attraction Farm,rural_attraction,arts_and_entertainment > rural_attraction > attraction_farm,attraction_farm,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > rural_attraction > corn_maze,corn_maze,Corn Maze,rural_attraction,arts_and_entertainment > rural_attraction > corn_maze,corn_maze,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > rural_attraction > country_dance_hall,country_dance_hall,Country Dance Hall,rural_attraction,arts_and_entertainment > rural_attraction > country_dance_hall,country_dance_hall,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > rural_attraction > pumpkin_patch,pumpkin_patch,Pumpkin Patch,rural_attraction,arts_and_entertainment > rural_attraction > pumpkin_patch,pumpkin_patch,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > rural_attraction > rodeo,rodeo,Rodeo,rodeo,arts_and_entertainment > rural_attraction > rodeo,rodeo,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > science_attraction,science_attraction,Science Attraction,science_attraction,arts_and_entertainment > science_attraction,science_attraction,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > science_attraction > makerspace,makerspace,Makerspace,makerspace,arts_and_entertainment > science_attraction > makerspace,makerspace,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > science_attraction > observatory,observatory,Observatory,science_attraction,arts_and_entertainment > science_attraction > observatory,observatory,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > science_attraction > planetarium,planetarium,Planetarium,planetarium,arts_and_entertainment > science_attraction > planetarium,planetarium,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > science_attraction > virtual_reality_center,virtual_reality_center,Virtual Reality Center,science_attraction,arts_and_entertainment > science_attraction > virtual_reality_center,virtual_reality_center,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > science_attraction > virtual_reality_center > vr_cafe,vr_cafe,VR Cafe,science_attraction,arts_and_entertainment > science_attraction > virtual_reality_center > vr_cafe,vr_cafe,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > social_club,social_club,Social Club,social_club,arts_and_entertainment > social_club,social_club,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > social_club > country_club,country_club,Country Club,country_club,arts_and_entertainment > social_club > country_club,country_club,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > social_club > fraternal_organization,fraternal_organization,Fraternal Organization,social_club,arts_and_entertainment > social_club > fraternal_organization,fraternal_organization,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > social_club > veterans_organization,veterans_organization,Veterans Organization,social_club,arts_and_entertainment > social_club > veterans_organization,veterans_organization,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > spiritual_advising,spiritual_advising,Spiritual Advising,spiritual_advising,arts_and_entertainment > spiritual_advising,spiritual_advising,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > spiritual_advising > astrological_advising,astrological_advising,Astrological Advising,astrological_advising,arts_and_entertainment > spiritual_advising > astrological_advising,astrological_advising,,,,
arts_and_entertainment,2,TRUE,arts_and_entertainment > spiritual_advising > psychic_advising,psychic_advising,Psychic Advising,psychic_advising,arts_and_entertainment > spiritual_advising > psychic_advising,psychic_advising,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > stadium_arena,stadium_arena,Stadium Arena,stadium_arena,arts_and_entertainment > stadium_arena,stadium_arena,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > stadium_arena > arena,arena,Arena,stadium_arena,arts_and_entertainment > stadium_arena > arena,arena,,,,
arts_and_entertainment,2,FALSE,arts_and_entertainment > stadium_arena > stadium,stadium,Stadium,stadium_arena,arts_and_entertainment > stadium_arena > stadium,stadium,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > stadium_arena > stadium > baseball_stadium,baseball_stadium,Baseball Stadium,stadium_arena,arts_and_entertainment > stadium_arena > stadium > baseball_stadium,baseball_stadium,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > stadium_arena > stadium > basketball_stadium,basketball_stadium,Basketball Stadium,stadium_arena,arts_and_entertainment > stadium_arena > stadium > basketball_stadium,basketball_stadium,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > stadium_arena > stadium > cricket_ground,cricket_ground,Cricket Ground,stadium_arena,arts_and_entertainment > stadium_arena > stadium > cricket_ground,cricket_ground,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > stadium_arena > stadium > football_stadium,football_stadium,Football Stadium,stadium_arena,arts_and_entertainment > stadium_arena > stadium > football_stadium,football_stadium,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > stadium_arena > stadium > hockey_arena,hockey_arena,Hockey Arena,stadium_arena,arts_and_entertainment > stadium_arena > stadium > hockey_arena,hockey_arena,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > stadium_arena > stadium > rugby_stadium,rugby_stadium,Rugby Stadium,stadium_arena,arts_and_entertainment > stadium_arena > stadium > rugby_stadium,rugby_stadium,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > stadium_arena > stadium > soccer_stadium,soccer_stadium,Soccer Stadium,stadium_arena,arts_and_entertainment > stadium_arena > stadium > soccer_stadium,soccer_stadium,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > stadium_arena > stadium > tennis_stadium,tennis_stadium,Tennis Stadium,stadium_arena,arts_and_entertainment > stadium_arena > stadium > tennis_stadium,tennis_stadium,,,,
arts_and_entertainment,3,FALSE,arts_and_entertainment > stadium_arena > stadium > track_stadium,track_stadium,Track Stadium,stadium_arena,arts_and_entertainment > stadium_arena > stadium > track_stadium,track_stadium,,,,
arts_and_entertainment,1,TRUE,arts_and_entertainment > ticket_office_or_booth,ticket_office_or_booth,Ticket Office or Booth,ticket_office_or_booth,arts_and_entertainment > ticket_office_or_booth,ticket_office_or_booth,,,,
community_and_government,0,FALSE,community_and_government,community_and_government,Community and Government,,community_and_government,community_and_government,,,,
community_and_government,1,FALSE,community_and_government > armed_forces_branch,armed_forces_branch,Armed Forces Branch,military_site,community_and_government > armed_forces_branch,armed_forces_branch,,,TRUE,military_site
community_and_government,1,FALSE,community_and_government > children_hall,children_hall,Children Hall,social_or_community_service,community_and_government > children_hall,children_hall,,,TRUE,youth_organization
community_and_government,1,TRUE,community_and_government > civic_organization,civic_organization,Civic Organization,civic_organization,community_and_government > organization,organization,,TRUE,,
community_and_government,2,FALSE,community_and_government > civic_organization > charity_organization,charity_organization,Charity Organization,civic_organization,community_and_government > organization > social_service_organization > charity_organization,charity_organization,,,,
community_and_government,2,TRUE,community_and_government > civic_organization > civic_center,civic_center,Civic Center,civic_center,community_and_government > civic_center,civic_center,,,,
community_and_government,2,TRUE,community_and_government > civic_organization > labor_union,labor_union,Labor Union,labor_union,community_and_government > organization > labor_union,labor_union,,,,
community_and_government,2,FALSE,community_and_government > civic_organization > non_governmental_association,non_governmental_association,Non Governmental Association,civic_organization,community_and_government > organization > non_governmental_association,non_governmental_association,,,,
community_and_government,2,TRUE,community_and_government > civic_organization > political_organization,political_organization,Political Organization,political_organization,community_and_government > organization > political_organization,political_organization,,,,
community_and_government,3,FALSE,community_and_government > civic_organization > political_organization > political_party_office,political_party_office,Political Party Office,political_organization,community_and_government > political_party_office,political_party_office,,,,
community_and_government,1,FALSE,community_and_government > community_service,community_service,Community Service,social_or_community_service,community_and_government > community_service,community_service,,,TRUE,social_or_community_service
community_and_government,1,TRUE,community_and_government > government_office,government_office,Government Office,government_office,community_and_government > government_office,government_office,,,,
community_and_government,2,FALSE,community_and_government > government_office > chambers_of_commerce,chambers_of_commerce,Chambers of Commerce,government_office,community_and_government > chambers_of_commerce,chambers_of_commerce,,,,
community_and_government,2,TRUE,community_and_government > government_office > courthouse,courthouse,Courthouse,courthouse,community_and_government > courthouse,courthouse,,,,
community_and_government,2,TRUE,community_and_government > government_office > embassy,embassy,Embassy,embassy,community_and_government > embassy,embassy,,,,
community_and_government,2,TRUE,community_and_government > government_office > government_department,government_department,Government Department,government_department,,,TRUE,,,
community_and_government,3,FALSE,community_and_government > government_office > government_department > department_of_motor_vehicles,department_of_motor_vehicles,Department of Motor Vehicles,government_department,community_and_government > department_of_motor_vehicles,department_of_motor_vehicles,,,,
community_and_government,3,FALSE,community_and_government > government_office > government_department > department_of_social_service,department_of_social_service,Department of Social Service,government_department,community_and_government > department_of_social_service,department_of_social_service,,,,
community_and_government,3,FALSE,community_and_government > government_office > government_department > health_department,health_department,Health Department,government_department,health_care > health_department,health_department,,,,
community_and_government,2,FALSE,community_and_government > government_office > immigration_and_naturalization_office,immigration_and_naturalization_office,Immigration and Naturalization Office,government_office,community_and_government > immigration_and_naturalization,immigration_and_naturalization,,,,
community_and_government,2,FALSE,community_and_government > government_office > national_security_service,national_security_service,National Security Service,government_office,community_and_government > national_security_service,national_security_service,,,,
community_and_government,2,FALSE,community_and_government > government_office > office_of_vital_records,office_of_vital_records,Office of Vital Records,government_office,community_and_government > office_of_vital_records,office_of_vital_records,,,,
community_and_government,2,FALSE,community_and_government > government_office > pension_office,pension_office,Pension Office,government_office,community_and_government > pension,pension,,TRUE,,
community_and_government,2,FALSE,community_and_government > government_office > registry_office,registry_office,Registry Office,government_office,community_and_government > registry_office,registry_office,,,,
community_and_government,2,FALSE,community_and_government > government_office > social_security_service,social_security_service,Social Security Service,government_office,community_and_government > government_office > social_security_service,social_security_service,,,,
community_and_government,2,FALSE,community_and_government > government_office > tax_office,tax_office,Tax Office,government_office,community_and_government > tax_office,tax_office,,,,
community_and_government,2,FALSE,community_and_government > government_office > town_hall,town_hall,Town Hall,government_office,community_and_government > town_hall,town_hall,,,,
community_and_government,2,FALSE,community_and_government > government_office > unemployment_office,unemployment_office,Unemployment Office,government_office,community_and_government > unemployment_office,unemployment_office,,,,
community_and_government,1,TRUE,community_and_government > military_site,military_site,Military Site,military_site,,,TRUE,,,
community_and_government,2,TRUE,community_and_government > military_site > military_base,military_base,Military Base,military_base,,,TRUE,,,
community_and_government,2,TRUE,community_and_government > military_site > military_office,military_office,Military Office,military_office,,,TRUE,,,
community_and_government,1,FALSE,community_and_government > public_and_government_association,public_and_government_association,Public and Government Association,government_office,community_and_government > organization > public_and_government_association,public_and_government_association,,,TRUE,government_office
community_and_government,1,TRUE,community_and_government > public_facility,public_facility,Public Facility,public_facility,,,TRUE,,,
community_and_government,2,TRUE,community_and_government > public_facility > public_fountain,public_fountain,Public Fountain,public_fountain,geographic_entities > fountain,fountain,,TRUE,,
community_and_government,3,FALSE,community_and_government > public_facility > public_fountain > drinking_fountain,drinking_fountain,Drinking Fountain,public_fountain,geographic_entities > fountain > drinking_fountain,drinking_fountain,,,,
community_and_government,2,TRUE,community_and_government > public_facility > public_pathway,public_pathway,Public Pathway,public_pathway,,,TRUE,,,
community_and_government,2,FALSE,community_and_government > public_facility > public_phone,public_phone,Public Phone,public_facility,community_and_government > public_utility_provider > public_phone,public_phone,,,,
community_and_government,2,TRUE,community_and_government > public_facility > public_plaza,public_plaza,Public Plaza,public_plaza,geographic_entities > plaza,plaza,,TRUE,,
community_and_government,2,TRUE,community_and_government > public_facility > public_restroom,public_restroom,Public Restroom,public_restroom,community_and_government > public_utility_provider > public_restroom,public_restroom,,,,
community_and_government,2,FALSE,community_and_government > public_facility > public_toilet,public_toilet,Public Toilet,public_restroom,community_and_government > public_toilet,public_toilet,,,TRUE,public_restroom
community_and_government,1,TRUE,community_and_government > public_safety_service,public_safety_service,Public Safety Service,public_safety_service,,,TRUE,,,
