Category code; Overture Taxonomy
mediterranean_restaurant; [eat_and_drink,restaurant,mediterranean_restaurant]
greek_restaurant; [eat_and_drink,restaurant,mediterranean_restaurant,greek_restaurant]
guamanian_restaurant; [eat_and_drink,restaurant,guamanian_restaurant]
hawaiian_restaurant; [eat_and_drink,restaurant,hawaiian_restaurant]
himalayan_nepalese_restaurant; [eat_and_drink,restaurant,himalayan_nepalese_restaurant]
hungarian_restaurant; [eat_and_drink,restaurant,hungarian_restaurant]
iberian_restaurant; [eat_and_drink,restaurant,iberian_restaurant]
irish_restaurant; [eat_and_drink,restaurant,irish_restaurant]
jewish_restaurant; [eat_and_drink,restaurant,jewish_restaurant]
international_restaurant; [eat_and_drink,restaurant,international_restaurant]
european_restaurant; [eat_and_drink,restaurant,european_restaurant]
oriental_restaurant; [eat_and_drink,restaurant,oriental_restaurant]
pakistani_restaurant; [eat_and_drink,restaurant,pakistani_restaurant]
polish_restaurant; [eat_and_drink,restaurant,polish_restaurant]
polynesian_restaurant; [eat_and_drink,restaurant,polynesian_restaurant]
portuguese_restaurant; [eat_and_drink,restaurant,portuguese_restaurant]
russian_restaurant; [eat_and_drink,restaurant,russian_restaurant]
scandinavian_restaurant; [eat_and_drink,restaurant,scandinavian_restaurant]
danish_restaurant; [eat_and_drink,restaurant,scandinavian_restaurant,danish_restaurant]
norwegian_restaurant; [eat_and_drink,restaurant,scandinavian_restaurant,norwegian_restaurant]
scottish_restaurant; [eat_and_drink,restaurant,scottish_restaurant]
seafood_restaurant; [eat_and_drink,restaurant,seafood_restaurant]
serbo_croatian_restaurant; [eat_and_drink,restaurant,serbo_croatian_restaurant]
slovakian_restaurant; [eat_and_drink,restaurant,slovakian_restaurant]
southern_restaurant; [eat_and_drink,restaurant,southern_restaurant]
spanish_restaurant; [eat_and_drink,restaurant,spanish_restaurant]
sri_lankan_restaurant; [eat_and_drink,restaurant,sri_lankan_restaurant]
swiss_restaurant; [eat_and_drink,restaurant,swiss_restaurant]
uzbek_restaurant; [eat_and_drink,restaurant,uzbek_restaurant]
molecular_gastronomy_restaurant; [eat_and_drink,restaurant,molecular_gastronomy_restaurant]
haute_cuisine_restaurant; [eat_and_drink,restaurant,haute_cuisine_restaurant]
salad_bar; [eat_and_drink,restaurant,salad_bar]
brasserie; [eat_and_drink,restaurant,brasserie]
buffet_restaurant; [eat_and_drink,restaurant,buffet_restaurant]
barbecue_restaurant; [eat_and_drink,restaurant,barbecue_restaurant]
burger_restaurant; [eat_and_drink,restaurant,burger_restaurant]
canteen; [eat_and_drink,restaurant,canteen]
cafeteria; [eat_and_drink,restaurant,cafeteria]
cheesesteak_restaurant; [eat_and_drink,restaurant,cheesesteak_restaurant]
chicken_restaurant; [eat_and_drink,restaurant,chicken_restaurant]
chicken_wings_restaurant; [eat_and_drink,restaurant,chicken_wings_restaurant]
dog_meat_restaurant; [eat_and_drink,restaurant,dog_meat_restaurant]
dumpling_restaurant; [eat_and_drink,restaurant,dumpling_restaurant]
fast_food_restaurant; [eat_and_drink,restaurant,fast_food_restaurant]
fischbrotchen_restaurant; [eat_and_drink,restaurant,fischbrotchen_restaurant]
acai_bowls; [eat_and_drink,restaurant,acai_bowls]
fish_restaurant; [eat_and_drink,restaurant,fish_restaurant]
fish_and_chips_restaurant; [eat_and_drink,restaurant,fish_and_chips_restaurant]
fondue_restaurant; [eat_and_drink,restaurant,fondue_restaurant]
gluten_free_restaurant; [eat_and_drink,restaurant,gluten_free_restaurant]
baozi_restaurant; [eat_and_drink,restaurant,baozi_restaurant]
halal_restaurant; [eat_and_drink,restaurant,halal_restaurant]
bistro; [eat_and_drink,restaurant,bistro]
health_food_restaurant; [eat_and_drink,restaurant,health_food_restaurant]
kosher_restaurant; [eat_and_drink,restaurant,kosher_restaurant]
comfort_food_restaurant; [eat_and_drink,restaurant,comfort_food_restaurant]
meat_restaurant; [eat_and_drink,restaurant,meat_restaurant]
curry_sausage_restaurant; [eat_and_drink,restaurant,curry_sausage_restaurant]
diner; [eat_and_drink,restaurant,diner]
diy_foods_restaurant; [eat_and_drink,restaurant,diy_foods_restaurant]
doner_kebab; [eat_and_drink,restaurant,doner_kebab]
empanadas; [eat_and_drink,restaurant,empanadas]
nasi_restaurant; [eat_and_drink,restaurant,nasi_restaurant]
flatbread_restaurant; [eat_and_drink,restaurant,flatbread_restaurant]
food_court; [eat_and_drink,restaurant,food_court]
gastropub; [eat_and_drink,restaurant,gastropub]
pizza_restaurant; [eat_and_drink,restaurant,pizza_restaurant]
pop_up_restaurant; [eat_and_drink,restaurant,pop_up_restaurant]
poutinerie_restaurant; [eat_and_drink,restaurant,poutinerie_restaurant]
vegan_restaurant; [eat_and_drink,restaurant,vegan_restaurant]
vegetarian_restaurant; [eat_and_drink,restaurant,vegetarian_restaurant]
wok_restaurant; [eat_and_drink,restaurant,wok_restaurant]
wrap_restaurant; [eat_and_drink,restaurant,wrap_restaurant]
piadina_restaurant; [eat_and_drink,restaurant,piadina_restaurant]
poke_restaurant; [eat_and_drink,restaurant,poke_restaurant]
pigs_trotters_restaurant; [eat_and_drink,restaurant,pigs_trotters_restaurant]
potato_restaurant; [eat_and_drink,restaurant,potato_restaurant]
rotisserie_chicken_restaurant; [eat_and_drink,restaurant,rotisserie_chicken_restaurant]
schnitzel_restaurant; [eat_and_drink,restaurant,schnitzel_restaurant]
soul_food; [eat_and_drink,restaurant,soul_food]
steakhouse; [eat_and_drink,restaurant,steakhouse]
supper_club; [eat_and_drink,restaurant,supper_club]
tapas_bar; [eat_and_drink,restaurant,tapas_bar]
venison_restaurant; [eat_and_drink,restaurant,venison_restaurant]
wild_game_meats_restaurant; [eat_and_drink,restaurant,wild_game_meats_restaurant]
falafel_restaurant; [eat_and_drink,restaurant,falafel_restaurant]
taco_restaurant; [eat_and_drink,restaurant,taco_restaurant]
hot_dog_restaurant; [eat_and_drink,restaurant,hot_dog_restaurant]
live_and_raw_food_restaurant; [eat_and_drink,restaurant,live_and_raw_food_restaurant]
soup_restaurant; [eat_and_drink,restaurant,soup_restaurant]
theme_restaurant; [eat_and_drink,restaurant,theme_restaurant]
bar_and_grill_restaurant; [eat_and_drink,restaurant,bar_and_grill_restaurant]
meatball_restaurant; [eat_and_drink,restaurant,meatball_restaurant]
waffle_restaurant; [eat_and_drink,restaurant,waffle_restaurant]
breakfast_and_brunch_restaurant; [eat_and_drink,restaurant,breakfast_and_brunch_restaurant]
pancake_house; [eat_and_drink,restaurant,breakfast_and_brunch_restaurant,pancake_house]
bagel_restaurant; [eat_and_drink,restaurant,breakfast_and_brunch_restaurant,bagel_restaurant]
baguettes; [eat_and_drink,restaurant,breakfast_and_brunch_restaurant,baguettes]
bar; [eat_and_drink,bar]
airport_lounge; [eat_and_drink,bar,airport_lounge]
beach_bar; [eat_and_drink,bar,beach_bar]
beer_bar; [eat_and_drink,bar,beer_bar]
beer_garden; [eat_and_drink,bar,beer_garden]
brewery; [eat_and_drink,bar,brewery]
bubble_tea; [eat_and_drink,bar,bubble_tea]
champagne_bar; [eat_and_drink,bar,champagne_bar]
cidery; [eat_and_drink,bar,cidery]
cigar_bar; [eat_and_drink,bar,cigar_bar]
cocktail_bar; [eat_and_drink,bar,cocktail_bar]
dive_bar; [eat_and_drink,bar,dive_bar]
drive_thru_bar; [eat_and_drink,bar,drive_thru_bar]
gay_bar; [eat_and_drink,bar,gay_bar]
hookah_bar; [eat_and_drink,bar,hookah_bar]
hotel_bar; [eat_and_drink,bar,hotel_bar]
irish_pub; [eat_and_drink,bar,irish_pub]
kombucha; [eat_and_drink,bar,kombucha]
lounge; [eat_and_drink,bar,lounge]
milk_bar; [eat_and_drink,bar,milk_bar]
milkshake_bar; [eat_and_drink,bar,milkshake_bar]
pub; [eat_and_drink,bar,pub]
sake_bar; [eat_and_drink,bar,sake_bar]
speakeasy; [eat_and_drink,bar,speakeasy]
sports_bar; [eat_and_drink,bar,sports_bar]
sugar_shack; [eat_and_drink,bar,sugar_shack]
tabac; [eat_and_drink,bar,tabac]
tiki_bar; [eat_and_drink,bar,tiki_bar]
vermouth_bar; [eat_and_drink,bar,vermouth_bar]
whiskey_bar; [eat_and_drink,bar,whiskey_bar]
wine_bar; [eat_and_drink,bar,wine_bar]
smoothie_juice_bar; [eat_and_drink,bar,smoothie_juice_bar]
piano_bar; [eat_and_drink,bar,piano_bar]
cafe; [eat_and_drink,cafe]
coffee_roastery; [eat_and_drink,cafe,coffee_roastery]
tea_room; [eat_and_drink,cafe,tea_room]
coffee_shop; [eat_and_drink,cafe,coffee_shop]
accommodation; [accommodation]
bed_and_breakfast; [accommodation,bed_and_breakfast]
cabin; [accommodation,cabin]
campground; [accommodation,campground]
cottage; [accommodation,cottage]
guest_house; [accommodation,guest_house]
health_retreats; [accommodation,health_retreats]
holiday_rental_home; [accommodation,holiday_rental_home]
hostel; [accommodation,hostel]
hotel; [accommodation,hotel]
inn; [accommodation,inn]
lodge; [accommodation,lodge]
motel; [accommodation,motel]
mountain_huts; [accommodation,mountain_huts]
resort; [accommodation,resort]
beach_resort; [accommodation,resort,beach_resort]
rv_park; [accommodation,rv_park]
service_apartments; [accommodation,service_apartments]
automotive; [automotive]
automotive_dealer; [automotive,automotive_dealer]
car_buyer; [automotive,car_buyer]
car_dealer; [automotive,automotive_dealer,car_dealer]
commercial_vehicle_dealer; [automotive,automotive_dealer,commercial_vehicle_dealer]
golf_cart_dealer; [automotive,automotive_dealer,golf_cart_dealer]
motorcycle_dealer; [automotive,automotive_dealer,motorcycle_dealer]
motorsport_vehicle_dealer; [automotive,automotive_dealer,motorsport_vehicle_dealer]
recreational_vehicle_dealer; [automotive,automotive_dealer,recreational_vehicle_dealer]
scooter_dealers; [automotive,automotive_dealer,scooter_dealers]
trailer_dealer; [automotive,automotive_dealer,trailer_dealer]
truck_dealer; [automotive,automotive_dealer,truck_dealer]
used_car_dealer; [automotive,automotive_dealer,used_car_dealer]
automotive_services_and_repair; [automotive,automotive_services_and_repair]
auto_body_shop; [automotive,automotive_services_and_repair,auto_body_shop]
auto_customization; [automotive,automotive_services_and_repair,auto_customization]
auto_detailing; [automotive,automotive_services_and_repair,auto_detailing]
auto_electrical_repair; [automotive,automotive_services_and_repair,auto_electrical_repair]
auto_glass_service; [automotive,automotive_services_and_repair,auto_glass_service]
car_window_tinting; [automotive,automotive_services_and_repair,auto_glass_service,car_window_tinting]
auto_restoration_services; [automotive,automotive_services_and_repair,auto_restoration_services]
auto_security; [automotive,automotive_services_and_repair,auto_security]
automobile_registration_service; [automotive,automotive_services_and_repair,automobile_registration_service]
automotive_consultant; [automotive,automotive_services_and_repair,automotive_consultant]
automotive_storage_facility; [automotive,automotive_services_and_repair,automotive_storage_facility]
brake_service_and_repair; [automotive,automotive_services_and_repair,brake_service_and_repair]
car_inspection; [automotive,automotive_services_and_repair,car_inspection]
car_stereo_installation; [automotive,automotive_services_and_repair,car_stereo_installation]
car_wash; [automotive,automotive_services_and_repair,car_wash]
diy_auto_shop; [automotive,automotive_services_and_repair,diy_auto_shop]
emissions_inspection; [automotive,automotive_services_and_repair,emissions_inspection]
engine_repair_service; [automotive,automotive_services_and_repair,engine_repair_service]
exhaust_and_muffler_repair; [automotive,automotive_services_and_repair,exhaust_and_muffler_repair]
hybrid_car_repair; [automotive,automotive_services_and_repair,hybrid_car_repair]
motorcycle_repair; [automotive,automotive_services_and_repair,motorcycle_repair]
motorsport_vehicle_repair; [automotive,automotive_services_and_repair,motorsport_vehicle_repair]
oil_change_station; [automotive,automotive_services_and_repair,oil_change_station]
recreation_vehicle_repair; [automotive,automotive_services_and_repair,recreation_vehicle_repair]
roadside_assistance; [automotive,automotive_services_and_repair,roadside_assistance]
emergency_roadside_service; [automotive,automotive_services_and_repair,roadside_assistance,emergency_roadside_service]
mobile_dent_repair; [automotive,automotive_services_and_repair,roadside_assistance,mobile_dent_repair]
tire_dealer_and_repair; [automotive,automotive_services_and_repair,tire_dealer_and_repair]
transmission_repair; [automotive,automotive_services_and_repair,transmission_repair]
towing_service; [automotive,automotive_services_and_repair,towing_service]
trailer_repair; [automotive,automotive_services_and_repair,trailer_repair]
truck_repair; [automotive,automotive_services_and_repair,truck_repair]
auto_upholstery; [automotive,automotive_services_and_repair,auto_upholstery]
vehicle_wrap; [automotive,automotive_services_and_repair,vehicle_wrap]
vehicle_shipping; [automotive,automotive_services_and_repair,vehicle_shipping]
wheel_and_rim_repair; [automotive,automotive_services_and_repair,wheel_and_rim_repair]
automotive_wheel_polishing_service; [automotive,automotive_services_and_repair,automotive_wheel_polishing_service]
windshield_installation_and_repair; [automotive,automotive_services_and_repair,windshield_installation_and_repair]
automotive_parts_and_accessories; [automotive,automotive_parts_and_accessories]
recreational_vehicle_parts_and_accessories; [automotive,automotive_parts_and_accessories,recreational_vehicle_parts_and_accessories]
car_stereo_store; [automotive,automotive_parts_and_accessories,car_stereo_store]
motorcycle_gear; [automotive,automotive_parts_and_accessories,motorcycle_gear]
motorsports_store; [automotive,automotive_parts_and_accessories,motorsports_store]
interlock_system; [automotive,automotive_parts_and_accessories,interlock_system]
aircraft_dealer; [automotive,aircraft_dealer]
aircraft_repair; [automotive,aircraft_services_and_repair]
aircraft_parts_and_supplies; [automotive,aircraft_parts_and_supplies]
avionics_shop; [automotive,aircraft_parts_and_supplies,avionics_shop]
boat_dealer; [automotive,boat_dealer]
boat_service_and_repair; [automotive,boat_service_and_repair]
boat_parts_and_accessories; [automotive,boat_parts_and_accessories]
gas_station; [automotive,gas_station]
truck_gas_station; [automotive,gas_station,truck_gas_station]
fuel_dock; [automotive,gas_station,fuel_dock]
ev_charging_station; [automotive,electric_vehicle_charging_station]
truck_stop; [automotive,truck_stop]
automobile_leasing; [automotive,automobile_leasing]
automotive_repair; [automotive,automotive_repair]
auto_company; [automotive,auto_company]
motorcycle_manufacturer; [automotive,motorcycle_manufacturer]
arts_and_entertainment; [arts_and_entertainment]
adult_entertainment; [arts_and_entertainment,adult_entertainment]
erotic_massage; [arts_and_entertainment,adult_entertainment,erotic_massage]
strip_club; [arts_and_entertainment,adult_entertainment,strip_club]
striptease_dancer; [arts_and_entertainment,adult_entertainment,striptease_dancer]
arcade; [arts_and_entertainment,arcade]
auditorium; [arts_and_entertainment,auditorium]
bar_crawl; [arts_and_entertainment,bar_crawl]
betting_center; [arts_and_entertainment,betting_center]
bingo_hall; [arts_and_entertainment,bingo_hall]
bookmakers; [arts_and_entertainment,bookmakers]
cabaret; [arts_and_entertainment,cabaret]
carousel; [arts_and_entertainment,carousel]
casino; [arts_and_entertainment,casino]
chamber_of_handicraft; [arts_and_entertainment,chamber_of_handicraft]
choir; [arts_and_entertainment,choir]
circus; [arts_and_entertainment,circus]
club_crawl; [arts_and_entertainment,club_crawl]
comedy_club; [arts_and_entertainment,comedy_club]
topic_concert_venue; [arts_and_entertainment,topic_concert_venue]
country_club; [arts_and_entertainment,country_club]
country_dance_hall; [arts_and_entertainment,country_dance_hall]
dance_club; [arts_and_entertainment,dance_club]
dinner_theater; [arts_and_entertainment,dinner_theater]
eatertainment; [arts_and_entertainment,eatertainment]
escape_rooms; [arts_and_entertainment,escape_rooms]
exhibition_and_trade_center; [arts_and_entertainment,exhibition_and_trade_center]
glass_blowing; [arts_and_entertainment,glass_blowing]
indoor_playcenter; [arts_and_entertainment,indoor_playcenter]
internet_cafe; [arts_and_entertainment,internet_cafe]
jazz_and_blues; [arts_and_entertainment,jazz_and_blues]
karaoke; [arts_and_entertainment,karaoke]
laser_tag; [arts_and_entertainment,laser_tag]
makerspace; [arts_and_entertainment,makerspace]
marching_band; [arts_and_entertainment,marching_band]
music_venue; [arts_and_entertainment,music_venue]
musical_band_orchestras_and_symphonies; [arts_and_entertainment,musical_band_orchestras_and_symphonies]
opera_and_ballet; [arts_and_entertainment,opera_and_ballet]
paint_and_sip; [arts_and_entertainment,paint_and_sip]
paintball; [arts_and_entertainment,paintball]
performing_arts; [arts_and_entertainment,performing_arts]
planetarium; [arts_and_entertainment,planetarium]
rodeo; [arts_and_entertainment,rodeo]
salsa_club; [arts_and_entertainment,salsa_club]
wildlife_sanctuary; [arts_and_entertainment,wildlife_sanctuary]
stadium_arena; [arts_and_entertainment,stadium_arena]
baseball_stadium; [arts_and_entertainment,stadium_arena,baseball_stadium]
basketball_stadium; [arts_and_entertainment,stadium_arena,basketball_stadium]
cricket_ground; [arts_and_entertainment,stadium_arena,cricket_ground]
football_stadium; [arts_and_entertainment,stadium_arena,football_stadium]
hockey_arena; [arts_and_entertainment,stadium_arena,hockey_arena]
rugby_stadium; [arts_and_entertainment,stadium_arena,rugby_stadium]
soccer_stadium; [arts_and_entertainment,stadium_arena,soccer_stadium]
tennis_stadium; [arts_and_entertainment,stadium_arena,tennis_stadium]
track_stadium; [arts_and_entertainment,stadium_arena,track_stadium]
studio_taping; [arts_and_entertainment,studio_taping]
theaters_and_performance_venues; [arts_and_entertainment,theaters_and_performance_venues]
theatre; [arts_and_entertainment,theaters_and_performance_venues,theatre]
ticket_sales; [arts_and_entertainment,ticket_sales]
virtual_reality_center; [arts_and_entertainment,virtual_reality_center]
water_park; [arts_and_entertainment,water_park]
cinema; [arts_and_entertainment,cinema]
drive_in_theater; [arts_and_entertainment,cinema,drive_in_theater]
outdoor_movies; [arts_and_entertainment,cinema,outdoor_movies]
farm; [arts_and_entertainment,farm]
attraction_farm; [arts_and_entertainment,farm,attraction_farm]
orchard; [arts_and_entertainment,farm,orchard]
pick_your_own_farm; [arts_and_entertainment,farm,pick_your_own_farm]
poultry_farm; [arts_and_entertainment,farm,poultry_farm]
ranch; [arts_and_entertainment,farm,ranch]
festival; [arts_and_entertainment,festival]
fair; [arts_and_entertainment,festival,fair]
film_festivals_and_organizations; [arts_and_entertainment,festival,film_festivals_and_organizations]
general_festivals; [arts_and_entertainment,festival,general_festivals]
holiday_market; [arts_and_entertainment,festival,holiday_market]
music_festivals_and_organizations; [arts_and_entertainment,festival,music_festivals_and_organizations]
trade_fair; [arts_and_entertainment,festival,trade_fair]
social_club; [arts_and_entertainment,social_club]
fraternal_organization; [arts_and_entertainment,social_club,fraternal_organization]
veterans_organization; [arts_and_entertainment,social_club,veterans_organization]
supernatural_reading; [arts_and_entertainment,supernatural_reading]
astrologer; [arts_and_entertainment,supernatural_reading,astrologer]
mystic; [arts_and_entertainment,supernatural_reading,mystic]
psychic; [arts_and_entertainment,supernatural_reading,psychic]
psychic_medium; [arts_and_entertainment,supernatural_reading,psychic_medium]
attractions_and_activities; [attractions_and_activities]
amusement_park; [attractions_and_activities,amusement_park]
aquarium; [attractions_and_activities,aquarium]
architecture; [attractions_and_activities,architecture]
art_gallery; [attractions_and_activities,art_gallery]
atv_rentals_and_tours; [attractions_and_activities,atv_rentals_and_tours]
axe_throwing; [attractions_and_activities,axe_throwing]
backpacking_area; [attractions_and_activities,backpacking_area]
beach; [attractions_and_activities,beach]
beach_combing_area; [attractions_and_activities,beach_combing_area]
boat_rental_and_training; [attractions_and_activities,boat_rental_and_training]
boating_places; [attractions_and_activities,boating_places]
bobsledding_field; [attractions_and_activities,bobsledding_field]
botanical_garden; [attractions_and_activities,botanical_garden]
bungee_jumping_center; [attractions_and_activities,bungee_jumping_center]
canyon; [attractions_and_activities,canyon]
castle; [attractions_and_activities,castle]
cave; [attractions_and_activities,cave]
challenge_courses_center; [attractions_and_activities,challenge_courses_center]
cliff_jumping_center; [attractions_and_activities,cliff_jumping_center]
climbing_service; [attractions_and_activities,climbing_service]
crater; [attractions_and_activities,crater]
cultural_center; [attractions_and_activities,cultural_center]
fishing_charter; [attractions_and_activities,fishing_charter]
flyboarding_rental; [attractions_and_activities,flyboarding_rental]
fort; [attractions_and_activities,fort]
fountain; [attractions_and_activities,fountain]
go_kart_track; [attractions_and_activities,go_kart_track]
haunted_house; [attractions_and_activities,haunted_house]
high_gliding_center; [attractions_and_activities,high_gliding_center]
horseback_riding_service; [attractions_and_activities,horseback_riding_service]
hot_air_balloons_tour; [attractions_and_activities,hot_air_balloons_tour]
hot_springs; [attractions_and_activities,hot_springs]
jet_skis_rental; [attractions_and_activities,jet_skis_rental]
kiteboarding_instruction; [attractions_and_activities,kiteboarding_instruction]
lake; [attractions_and_activities,lake]
