trace_id	point_index	label_gers_id	prediction_gers_id	label_snapped_wkt	prediction_snapped_wkt	distance_to_prev_point	is_correct
manual_trace#1	22	300000000762	300000000762	POINT (-83.65592592444831 32.81889720743406)	POINT (-83.65592592444831 32.81889720743406)	142.37	True
manual_trace#1	23	300000000762	300000000762	POINT (-83.65594265604699 32.81777864131462)	POINT (-83.65594265604699 32.81777864131462)	124.32	True
manual_trace#1	24	300000000065	300000000065	POINT (-83.65615380591748 32.81637703768651)	POINT (-83.65615380591748 32.81637703768651)	156.12	True
manual_trace#1	25	300000000065	300000000065	POINT (-83.65652350140803 32.81472726681)	POINT (-83.65652350140803 32.81472726681)	187.67	True
manual_trace#1	26	439069199	439069199	POINT (-83.65664574295157 32.814386261694295)	POINT (-83.65664574295157 32.814386261694295)	39.22	True
manual_trace#1	27	300000000116	300000000116	POINT (-83.6582658691611 32.81434712283896)	POINT (-83.6582658691611 32.81434712283896)	148.45	True
manual_trace#1	28	300000000118	300000000118	POINT (-83.65887120612828 32.814372013656964)	POINT (-83.65887120612828 32.814372013656964)	57.87	True
manual_trace#1	29	300000000118	300000000118	POINT (-83.66059193168026 32.81443445824801)	POINT (-83.66059193168026 32.81443445824801)	162.22	True
manual_trace#1	30	300000000807	300000000807	POINT (-83.66232771694257 32.814484073777116)	POINT (-83.66232771694257 32.814484073777116)	163.02	True
manual_trace#1	31	532092825	532092825	POINT (-83.6657150974017 32.81455511224345)	POINT (-83.6657150974017 32.81455511224345)	317.01	True
manual_trace#1	32	100000012378	100000012378	POINT (-83.66938918673675 32.814638205790835)	POINT (-83.66938918673675 32.814638205790835)	343.9	True
manual_trace#1	33	300000000121	300000000121	POINT (-83.67306398489028 32.81473211743346)	POINT (-83.67306398489028 32.81473211743346)	343.9	True
manual_trace#1	34	300000000123	300000000123	POINT (-83.67485170173995 32.814774519576176)	POINT (-83.67485170173995 32.814774519576176)	167.12	True
manual_trace#1	35	300000000125	300000000125	POINT (-83.67663929319279 32.81484253613532)	POINT (-83.67663929319279 32.81484253613532)	167.11	True
manual_trace#1	36	300000000125	300000000125	POINT (-83.67840512409647 32.81496292586737)	POINT (-83.67840512409647 32.81496292586737)	165.5	True
manual_trace#1	37	300000000127	300000000127	POINT (-83.68017283292825 32.81504376656685)	POINT (-83.68017283292825 32.81504376656685)	165.5	True
manual_trace#1	38	300000000127	300000000127	POINT (-83.68239775588297 32.81515386410558)	POINT (-83.68239775588297 32.81515386410558)	208.28	True
manual_trace#1	39	300000000127	300000000127	POINT (-83.68462221160213 32.815272130591126)	POINT (-83.68462221160213 32.815272130591126)	208.27	True
manual_trace#1	40	532092849	532092849	POINT (-83.68522598470156 32.8156305146691)	POINT (-83.68522598470156 32.8156305146691)	67.96	True
manual_trace#1	41	100000009897	100000009897	POINT (-83.68534338888027 32.81605098300186)	POINT (-83.68534338888027 32.81605098300186)	49.08	True
manual_trace#1	42	100000010496	100000010496	POINT (-83.68559989920712 32.81605444703671)	POINT (-83.68559989920712 32.81605444703671)	23.99	True
manual_trace#1	43	100000010497	100000010497	POINT (-83.68575712816346 32.816057116587196)	POINT (-83.68575712816346 32.816057116587196)	14.7	True
manual_trace#2	0	100000008447	100000008447	POINT (-83.63656738035134 32.840903805943654)	POINT (-83.63656738035134 32.840903805943654)	0	True
manual_trace#2	1	100000008447	100000008447	POINT (-83.63600917410825 32.84091394392004)	POINT (-83.63600917410825 32.84091394392004)	52.21	True
manual_trace#2	2	100000008445	100000008445	POINT (-83.63495830857892 32.840927932649)	POINT (-83.63495830857892 32.840927932649)	98.25	True
manual_trace#2	3	100000008443	100000008443	POINT (-83.63362896696206 32.84080300142787)	POINT (-83.63362896696206 32.84080300142787)	124.97	True
manual_trace#2	4	9024952	9024952	POINT (-83.6331886620332 32.84071948676825)	POINT (-83.6331886620332 32.84071948676825)	42.55	True
manual_trace#2	5	300000000618	300000000618	POINT (-83.63235512341379 32.84116153612505)	POINT (-83.63235512341379 32.84116153612505)	92.64	True
manual_trace#2	6	88140869	88140869	POINT (-83.63169407427034 32.84173372186037)	POINT (-83.63169407427034 32.84173372186037)	89.41	True
manual_trace#2	7	88140869	88140869	POINT (-83.63150411921403 32.84193499002945)	POINT (-83.63150411921403 32.84193499002945)	28.49	True
manual_trace#2	8	100000006922	100000006922	POINT (-83.63157445938427 32.842112975132586)	POINT (-83.63157445938427 32.842112975132586)	21.89	True
manual_trace#2	9	100000006923	100000006923	POINT (-83.63202966626888 32.842384663325404)	POINT (-83.63202966626888 32.842384663325404)	52.32	True
manual_trace#2	10	100000006924	100000006924	POINT (-83.63259250916299 32.84272810215549)	POINT (-83.63259250916299 32.84272810215549)	64.78	True
manual_trace#2	11	100000007789	100000007789	POINT (-83.63286696481087 32.843044002649236)	POINT (-83.63286696481087 32.843044002649236)	44.31	True
manual_trace#2	12	100000007789	100000007789	POINT (-83.63254626932324 32.84343268558023)	POINT (-83.63254626932324 32.84343268558023)	52.82	True
manual_trace#2	13	100000002317	100000002317	POINT (-83.63254429860623 32.84361288556348)	POINT (-83.63254429860623 32.84361288556348)	24.58	True
manual_trace#2	14	100000002319	100000002319	POINT (-83.63301286030459 32.84389632360627)	POINT (-83.63301286030459 32.84389632360627)	53.66	True
manual_trace#2	15	100000002320	100000002320	POINT (-83.6335745260774 32.84422307371243)	POINT (-83.6335745260774 32.84422307371243)	63.66	True
manual_trace#3	0	100000002117	100000002117	POINT (-83.66540369647271 32.83888310460108)	POINT (-83.66540369647271 32.83888310460108)	0	True
manual_trace#3	1	100000002117	100000002117	POINT (-83.6654284451776 32.83810391957019)	POINT (-83.6654284451776 32.83810391957019)	86.76	True
manual_trace#3	2	100000005645	100000005645	POINT (-83.66539621675373 32.83799096513748)	POINT (-83.66539621675373 32.83799096513748)	23.7	True
manual_trace#3	3	100000005645	100000005645	POINT (-83.66413092046463 32.837954372378476)	POINT (-83.66413092046463 32.837954372378476)	118.87	True
manual_trace#3	4	100000002744	100000002744	POINT (-83.663867564 32.838216951999996)	POINT (-83.663867564 32.838216951999996)	37.23	True
manual_trace#3	5	100000009841	100000009841	POINT (-83.66388158876876 32.83893968192436)	POINT (-83.66388158876876 32.83893968192436)	87.04	True
manual_trace#3	6	100000009841	100000009841	POINT (-83.66526200605696 32.83896540949592)	POINT (-83.66526200605696 32.83896540949592)	129.09	True
manual_trace#3	7	100000002117	100000002117	POINT (-83.66540837196911 32.83873590187606)	POINT (-83.66540837196911 32.83873590187606)	30.6	True
manual_trace#3	8	100000002117	100000002117	POINT (-83.66542113951374 32.838333930148494)	POINT (-83.66542113951374 32.838333930148494)	44.96	True
manual_trace#3	9	100000005645	100000005645	POINT (-83.66532429747144 32.83798888520965)	POINT (-83.66532429747144 32.83798888520965)	46.15	True
manual_trace#3	10	100000005645	100000005645	POINT (-83.66425200389673 32.837957874148685)	POINT (-83.66425200389673 32.837957874148685)	100.24	True
manual_trace#4	0	100000007562	100000007562	POINT (-83.63202608978943 32.834442705856)	POINT (-83.63202608978943 32.834442705856)	0	True
manual_trace#4	1	100000007562		POINT (-83.63211076453908 32.83449429814005)		13.68	False
manual_trace#4	2	100000007562	100000007561	POINT (-83.63214182443929 32.83451322292225)	POINT (-83.63202050000001 32.8344393)	5.82	False
manual_trace#4	3	100000007562	100000007562	POINT (-83.63202050000001 32.8344393)	POINT (-83.63211076453908 32.83449429814005)	37.7	True
manual_trace#4	4	100000007562	100000007562	POINT (-83.63203291430703 32.83444686403127)	POINT (-83.63214182443929 32.83451322292225)	46.19	True
manual_trace#4	5	100000007562	100000007562	POINT (-83.63212661942111 32.834503958512016)	POINT (-83.63202050000001 32.8344393)	36.45	True
manual_trace#4	6	100000007562	100000007562	POINT (-83.6321861 32.8345402)	POINT (-83.63203291430703 32.83444686403127)	10.99	True
manual_trace#4	7	100000007562	100000007562	POINT (-83.63212486121718 32.8345028872392)	POINT (-83.63212661942111 32.834503958512016)	9.8	True
manual_trace#4	8	100000007562	100000007562	POINT (-83.63202050000001 32.8344393)	POINT (-83.6321861 32.8345402)	18.06	True
manual_trace#4	9	100000007562	100000007562	POINT (-83.63214698133844 32.8345163650184)	POINT (-83.63212486121718 32.8345028872392)	31.63	True
manual_trace#4	10	100000007560	100000007562	POINT (-83.63185729694031 32.83434182774317)	POINT (-83.63202050000001 32.8344393)	33.38	False
manual_trace#4	11	100000007563	100000007562	POINT (-83.63219427282 32.83454517674514)	POINT (-83.63214698133844 32.8345163650184)	38.16	False
manual_trace#4	12	100000007563	100000007562	POINT (-83.63224797322754 32.8345778769933)	POINT (-83.63202050000001 32.8344393)	17.74	False
manual_trace#4	13	100000007563	100000007563	POINT (-83.63219521220118 32.83454574877055)	POINT (-83.63219427282 32.83454517674514)	8.36	True
manual_trace#4	14	100000007563	100000007563	POINT (-83.63237855984472 32.83465739621829)	POINT (-83.63224797322754 32.8345778769933)	21.4	True
manual_trace#4	15	100000007564	100000007563	POINT (-83.63246269021194 32.834708645656676)	POINT (-83.63219521220118 32.83454574877055)	10.53	False
manual_trace#4	16	100000007564	100000007563	POINT (-83.63258763529423 32.834784768387514)	POINT (-83.63237855984472 32.83465739621829)	19.66	False
manual_trace#4	17	100000007564	100000007564	POINT (-83.632762 32.834891)	POINT (-83.63246269021194 32.834708645656676)	29.14	True
manual_trace#4	18	100000007564	100000007564	POINT (-83.63265278293466 32.83482445955587)	POINT (-83.63258763529423 32.834784768387514)	29.8	True
manual_trace#4	19	100000001198	100000007564	POINT (-83.63261270612658 32.835059894262606)	POINT (-83.632762 32.834891)	35.82	False
manual_trace#4	20	100000001198	100000007564	POINT (-83.63245586081264 32.83523733137394)	POINT (-83.63265278293466 32.83482445955587)	24.6	False
manual_trace#4	21	100000001198	100000001198	POINT (-83.63230539615523 32.835401157437325)	POINT (-83.63261270612658 32.835059894262606)	23.56	True
manual_trace#4	22	100000001198	100000001198	POINT (-83.63227393385264 32.83543482941001)	POINT (-83.63245586081264 32.83523733137394)	12.85	True
manual_trace#4	23	100000010959	100000001198	POINT (-83.63208237561861 32.835651543991766)	POINT (-83.63230539615523 32.835401157437325)	30.03	False
manual_trace#4	24	100000010959	100000001198	POINT (-83.63182244317989 32.83595106034478)	POINT (-83.63227393385264 32.83543482941001)	41.56	False
manual_trace#4	25	100000010959	100000010959	POINT (-83.63175917827427 32.836023959388704)	POINT (-83.63208237561861 32.835651543991766)	10.15	True
manual_trace#4	26	100000010959	100000010959	POINT (-83.63169808029056 32.83609436105796)	POINT (-83.63182244317989 32.83595106034478)	14.96	True
manual_trace#4	27	100000010959	100000010959	POINT (-83.63179471678171 32.835983009068485)	POINT (-83.63175917827427 32.836023959388704)	43.04	True
manual_trace#4	28	100000010959	100000010959	POINT (-83.63179795059058 32.835979282797744)	POINT (-83.63169808029056 32.83609436105796)	52.8	True
manual_trace#4	29	100000010959	100000011526	POINT (-83.6316688 32.8361281)	POINT (-83.63149920000001 32.835983500000005)	44.74	False
manual_trace#4	30	100000010959	100000010959	POINT (-83.63191861155626 32.83584024692915)	POINT (-83.63179795059058 32.835979282797744)	45.45	True
manual_trace#4	31	893292056	100000010959	POINT (-83.63157421053106 32.8362454618309)	POINT (-83.6316688 32.8361281)	59.57	False
manual_trace#4	32	893292056	100000010959	POINT (-83.63124717253595 32.836651368626995)	POINT (-83.63191861155626 32.83584024692915)	54.5	False
manual_trace#4	33	100000009206	893292056	POINT (-83.6310056952321 32.836748622458586)	POINT (-83.63157421053106 32.8362454618309)	34.52	False
manual_trace#4	34	100000009207	893292056	POINT (-83.63061828982708 32.83687244967878)	POINT (-83.63124717253595 32.836651368626995)	43.88	False
manual_trace#4	35	100000009207	100000009206	POINT (-83.63074786437147 32.83683054146529)	POINT (-83.6310056952321 32.836748622458586)	26.58	False
manual_trace#4	36	100000009207	100000009207	POINT (-83.63046962441724 32.83692053243888)	POINT (-83.63061828982708 32.83687244967878)	30.49	True
manual_trace#4	37	100000009207	100000009207	POINT (-83.6301544623178 32.8370224651187)	POINT (-83.63074786437147 32.83683054146529)	31.4	True
manual_trace#4	38	100000009207	100000009207	POINT (-83.62997678436163 32.837079931388445)	POINT (-83.63046962441724 32.83692053243888)	21.76	True
manual_trace#4	39	100000010960	100000009207	POINT (-83.62988341235477 32.83710408107236)	POINT (-83.6301544623178 32.8370224651187)	16.45	False
manual_trace#4	40	100000010960	100000009207	POINT (-83.62989 32.837108)	POINT (-83.62997678436163 32.837079931388445)	31.25	False
manual_trace#4	41	100000010960	100000009207	POINT (-83.62983121797629 32.83707303113188)	POINT (-83.62989 32.837108)	18.24	False
manual_trace#4	42	100000010960	100000009207	POINT (-83.62965290650205 32.83696695532786)	POINT (-83.6300315633354 32.837062214259376)	20.19	False
manual_trace#4	43	100000010960	100000010960	POINT (-83.62931255068334 32.83675626434011)	POINT (-83.62983121797629 32.83707303113188)	44.17	True
manual_trace#4	44	100000014635	100000010960	POINT (-83.6285378408463 32.83628275772188)	POINT (-83.62965290650205 32.83696695532786)	88.6	False
manual_trace#4	45	100000014634	100000010960	POINT (-83.62803969672636 32.835979185861724)	POINT (-83.62931255068334 32.83675626434011)	57.44	False
manual_trace#4	46	100000014634	100000014635	POINT (-83.62774567454116 32.835798757153285)	POINT (-83.6285378408463 32.83628275772188)	33.65	False
manual_trace#4	47	100000014634	100000014634	POINT (-83.62766916374578 32.835751805784696)	POINT (-83.62803969672636 32.835979185861724)	9.59	True
manual_trace#4	48	100000014634	100000014634	POINT (-83.62784522917465 32.835859849529456)	POINT (-83.62774567454116 32.835798757153285)	48.57	True
manual_trace#4	49	100000014634	100000014634	POINT (-83.62766050937512 32.83574649497143)	POINT (-83.62766916374578 32.835751805784696)	38.6	True
manual_trace#4	50	100000014633	100000000855	POINT (-83.62760379069559 32.835713968994014)	POINT (-83.62784 32.835476)	28.9	False
manual_trace#4	51	100000014633	100000000855	POINT (-83.6275717658409 32.835696904915594)	POINT (-83.62765402756705 32.83570220685355)	35.4	False
manual_trace#4	52	100000014632	100000000855	POINT (-83.62702178291852 32.83538107915192)	POINT (-83.627632 32.835729)	61.32	False
manual_trace#4	53	100000014631	9025371	POINT (-83.62668791456466 32.83518027785701)	POINT (-83.62771556307693 32.83544046461538)	38.56	False
manual_trace#4	54	100000014631	100000014632	POINT (-83.62632811184446 32.83495949149013)	POINT (-83.62702178291852 32.83538107915192)	41.48	False
manual_trace#4	55	100000014631	100000014631	POINT (-83.62619577531324 32.83487775901427)	POINT (-83.62668791456466 32.83518027785701)	25.31	True
manual_trace#4	56	100000014631	100000014631	POINT (-83.6260374 32.8347848)	POINT (-83.62632811184446 32.83495949149013)	58.76	True
manual_trace#4	57	100000014631	100000014631	POINT (-83.62611799614456 32.834830559412666)	POINT (-83.62619577531324 32.83487775901427)	64.22	True
manual_trace#4	58	100000014631	1035593462	POINT (-83.6260374 32.8347848)	POINT (-83.6259077 32.834708400000004)	52.23	False
manual_trace#4	59	100000014631	300000000589	POINT (-83.6260374 32.8347848)	POINT (-83.62586472446898 32.834922087780306)	25.33	False
manual_trace#4	60	100000014631	300000000986	POINT (-83.6260374 32.8347848)	POINT (-83.62604717936095 32.83457044573668)	28.4	False
manual_trace#4	61	100000014631	300000000986	POINT (-83.6260374 32.8347848)	POINT (-83.62592782322157 32.834689431528695)	30.53	False
manual_trace#4	62	1035593462	300000000986	POINT (-83.6259077 32.834708400000004)	POINT (-83.62611362611784 32.83448729207645)	11.51	False
manual_trace#4	63	100000012001	300000000986	POINT (-83.62557628878966 32.83493935157568)	POINT (-83.62591833022368 32.83469837978072)	49.76	False
manual_trace#4	64	100000012001	300000000986	POINT (-83.62492547266766 32.835143248668906)	POINT (-83.62595896265331 32.834660079001054)	65.3	False
manual_trace#4	65	9032101	100000012001	POINT (-83.62457072462566 32.83487706416022)	POINT (-83.62557628878966 32.83493935157568)	43.92	False
manual_trace#4	66	9032101	100000012001	POINT (-83.624716 32.8349619)	POINT (-83.62492547266766 32.835143248668906)	55.09	False
manual_trace#4	67	9032101	9032101	POINT (-83.62444111184953 32.83480137474102)	POINT (-83.62457072462566 32.83487706416022)	64.75	True
manual_trace#4	68	9032101	9032101	POINT (-83.62449070364549 32.83483033465026)	POINT (-83.62449070364549 32.83483033465026)	27.13	True
manual_trace#4	69	9032101	9032101	POINT (-83.6247774 32.835165)	POINT (-83.6247774 32.835165)	67.13	True
manual_trace#4	70	9032101	9032101	POINT (-83.62473374378752 32.835020593212434)	POINT (-83.62473374378752 32.835020593212434)	49.2	True
manual_trace#4	71	9032101	9032101	POINT (-83.6245315697639 32.83485419906286)	POINT (-83.6245315697639 32.83485419906286)	42.61	True
