trace_id	point_index	trace_point_wkt	gers_id
manual_trace#2	10	POINT (-83.6325872 32.8427367)	100000006924
manual_trace#2	11	POINT (-83.6328769 32.8430522)	100000007789
manual_trace#2	12	POINT (-83.6325658 32.8434488)	100000007789
manual_trace#2	13	POINT (-83.6325121 32.8436652)	100000002317
manual_trace#2	14	POINT (-83.6329949 32.8439266)	100000002319
manual_trace#2	15	POINT (-83.6335636 32.844242)	100000002320
manual_trace#3	0	POINT (-83.6654067 32.8388832)	100000002117
manual_trace#3	1	POINT (-83.6654845 32.8381057)	100000002117
manual_trace#3	2	POINT (-83.6653987 32.8379051)	100000005645
manual_trace#3	3	POINT (-83.66413 32.8379862)	100000005645
manual_trace#3	4	POINT (-83.6638403 32.8382161)	100000002744
manual_trace#3	5	POINT (-83.6638805 32.8389981)	100000009841
manual_trace#3	6	POINT (-83.6652619 32.8389711)	100000009841
manual_trace#3	7	POINT (-83.6654335 32.8387367)	100000002117
manual_trace#3	8	POINT (-83.6654013 32.8383333)	100000002117
manual_trace#3	9	POINT (-83.6653262 32.8379231)	100000005645
manual_trace#3	10	POINT (-83.6642534 32.8379096)	100000005645
manual_trace#4	0	POINT (-83.6319977 32.8344893)	100000007562
manual_trace#4	1	POINT (-83.6320424 32.8346065)	100000007562
manual_trace#4	2	POINT (-83.6320987 32.834584)	100000007562
manual_trace#4	3	POINT (-83.6319736 32.8342617)	100000007562
manual_trace#4	4	POINT (-83.6318958 32.8346719)	100000007562
manual_trace#4	5	POINT (-83.6321676 32.8344367)	100000007562
manual_trace#4	6	POINT (-83.6322194 32.8345254)	100000007562
manual_trace#4	7	POINT (-83.6321148 32.8345194)	100000007562
manual_trace#4	8	POINT (-83.6319932 32.8343932)	100000007562
manual_trace#4	9	POINT (-83.6320513 32.8346734)	100000007562
manual_trace#4	10	POINT (-83.6317733 32.8344848)	100000007560
manual_trace#4	11	POINT (-83.6321235 32.8346614)	100000007563
manual_trace#4	12	POINT (-83.632263 32.8345532)	100000007563
manual_trace#4	13	POINT (-83.6321774 32.834575)	100000007563
manual_trace#4	14	POINT (-83.6323542 32.8346974)	100000007563
manual_trace#4	15	POINT (-83.6324668 32.8347019)	100000007564
manual_trace#4	16	POINT (-83.6325365 32.8348687)	100000007564
manual_trace#4	17	POINT (-83.6328155 32.8349859)	100000007564
manual_trace#4	18	POINT (-83.6327082 32.8347335)	100000007564
manual_trace#4	19	POINT (-83.6325902 32.83504)	100000001198
manual_trace#4	20	POINT (-83.6323703 32.8351617)	100000001198
manual_trace#4	21	POINT (-83.6322469 32.8353465)	100000001198
manual_trace#4	22	POINT (-83.6322952 32.8354547)	100000001198
manual_trace#4	23	POINT (-83.6320269 32.8356034)	100000010959
manual_trace#4	24	POINT (-83.6317802 32.8359144)	100000010959
manual_trace#4	25	POINT (-83.6317212 32.835991)	100000010959
manual_trace#4	26	POINT (-83.6317335 32.8361251)	100000010959
manual_trace#4	27	POINT (-83.6315495 32.8357702)	100000010959
manual_trace#4	28	POINT (-83.6319465 32.8361082)	100000010959
manual_trace#4	29	POINT (-83.6314744 32.8360406)	100000010959
manual_trace#4	30	POINT (-83.6317963 32.8357341)	100000010959
manual_trace#4	31	POINT (-83.6315549 32.8362299)	893292056
manual_trace#4	32	POINT (-83.6312276 32.8366356)	893292056
manual_trace#4	33	POINT (-83.631056 32.8369105)	100000009206
manual_trace#4	34	POINT (-83.6306 32.8368159)	100000009207
manual_trace#4	35	POINT (-83.6307985 32.8369871)	100000009207
manual_trace#4	36	POINT (-83.6304766 32.8369421)	100000009207
manual_trace#4	37	POINT (-83.6301547 32.8370232)	100000009207
manual_trace#4	38	POINT (-83.6300075 32.8371749)	100000009207
manual_trace#4	39	POINT (-83.6298323 32.83719)	100000010960
manual_trace#4	40	POINT (-83.6299932 32.8369436)	100000010960
manual_trace#4	41	POINT (-83.6298448 32.8370502)	100000010960
manual_trace#4	42	POINT (-83.6296552 32.8369631)	100000010960
manual_trace#4	43	POINT (-83.6293876 32.8366356)	100000010960
manual_trace#4	44	POINT (-83.6285562 32.8362524)	100000014635
manual_trace#4	45	POINT (-83.6280573 32.8359505)	100000014634
manual_trace#4	46	POINT (-83.62773 32.8358243)	100000014634
manual_trace#4	47	POINT (-83.6276275 32.8358197)	100000014634
manual_trace#4	48	POINT (-83.6280358 32.8355493)	100000014634
manual_trace#4	49	POINT (-83.6276764 32.8357206)	100000014634
manual_trace#4	50	POINT (-83.6274898 32.8359279)	100000014633
manual_trace#4	51	POINT (-83.6276096 32.8356259)	100000014633
manual_trace#4	52	POINT (-83.6270392 32.8353532)	100000014632
manual_trace#4	53	POINT (-83.6267084 32.8351459)	100000014631
manual_trace#4	54	POINT (-83.62629 32.8350212)	100000014631
manual_trace#4	55	POINT (-83.6262459 32.8347966)	100000014631
manual_trace#4	56	POINT (-83.6256933 32.8345442)	100000014631
manual_trace#4	57	POINT (-83.6259833 32.8350678)	100000014631
manual_trace#4	58	POINT (-83.6260933 32.8346073)	100000014631
manual_trace#4	59	POINT (-83.6258242 32.8345795)	100000014631
manual_trace#4	60	POINT (-83.626104 32.8344796)	100000014631
manual_trace#4	61	POINT (-83.6259323 32.8347132)	100000014631
manual_trace#4	62	POINT (-83.6259127 32.834611)	1035593462
manual_trace#4	63	POINT (-83.6255914 32.8349679)	100000012001
manual_trace#4	64	POINT (-83.6249262 32.8351482)	100000012001
manual_trace#4	65	POINT (-83.6245519 32.8349093)	9032101
manual_trace#4	66	POINT (-83.6250436 32.8346358)	9032101
manual_trace#4	67	POINT (-83.6244053 32.8348627)	9032101
manual_trace#4	68	POINT (-83.6245841 32.8346704)	9032101
manual_trace#4	69	POINT (-83.6246288 32.8352729)	9032101
manual_trace#4	70	POINT (-83.6249828 32.8349453)	9032101
manual_trace#4	71	POINT (-83.6245523 32.8348187)	9032101
