New Primary Category,New Primary Hierarchy,Basic Level Category,Old Primary Category,Old Primary Hierarchy
amphitheater,arts_and_entertainment > performing_arts_venue > amphitheater,performing_arts_venue,,
cabaret,arts_and_entertainment > performing_arts_venue > cabaret,performing_arts_venue,cabaret,arts_and_entertainment > cabaret
comedy_club,arts_and_entertainment > performing_arts_venue > comedy_club,comedy_club,comedy_club,arts_and_entertainment > comedy_club
music_venue,arts_and_entertainment > performing_arts_venue > music_venue,music_venue,music_venue,arts_and_entertainment > music_venue
music_venue,arts_and_entertainment > performing_arts_venue > music_venue,music_venue,marching_band,arts_and_entertainment > marching_band
music_venue,arts_and_entertainment > performing_arts_venue > music_venue,music_venue,topic_concert_venue,arts_and_entertainment > topic_concert_venue
band_orchestra_symphony,arts_and_entertainment > performing_arts_venue > music_venue > band_orchestra_symphony,music_venue,musical_band_orchestras_and_symphonies,arts_and_entertainment > musical_band_orchestras_and_symphonies
choir,arts_and_entertainment > performing_arts_venue > music_venue > choir,music_venue,choir,arts_and_entertainment > choir
jazz_and_blues_venue,arts_and_entertainment > performing_arts_venue > music_venue > jazz_and_blues_venue,music_venue,jazz_and_blues,arts_and_entertainment > jazz_and_blues
karaoke_venue,arts_and_entertainment > performing_arts_venue > music_venue > karaoke_venue,music_venue,karaoke,arts_and_entertainment > karaoke
opera_and_ballet,arts_and_entertainment > performing_arts_venue > music_venue > opera_and_ballet,performing_arts_venue,opera_and_ballet,arts_and_entertainment > opera_and_ballet
theatre_venue,arts_and_entertainment > performing_arts_venue > theatre_venue,threatre_venue,theatre,arts_and_entertainment > theaters_and_performance_venues > theatre
dinner_theater,arts_and_entertainment > performing_arts_venue > theatre_venue > dinner_theater,performing_arts_venue,dinner_theater,arts_and_entertainment > dinner_theater
dinner_theater,arts_and_entertainment > performing_arts_venue > theatre_venue > dinner_theater,performing_arts_venue,eatertainment,arts_and_entertainment > eatertainment
rural_attraction,arts_and_entertainment > rural_attraction,entertainment_location,,
attraction_farm,arts_and_entertainment > rural_attraction > attraction_farm,farm,attraction_farm,arts_and_entertainment > farm > attraction_farm
corn_maze,arts_and_entertainment > rural_attraction > corn_maze,entertainment_location,,
country_dance_hall,arts_and_entertainment > rural_attraction > country_dance_hall,entertainment_location,country_dance_hall,arts_and_entertainment > country_dance_hall
pumpkin_patch,arts_and_entertainment > rural_attraction > pumpkin_patch,entertainment_location,pumpkin_patch,retail > shopping > home_and_garden > pumpkin_patch
rodeo,arts_and_entertainment > rural_attraction > rodeo,entertainment_location,rodeo,arts_and_entertainment > rodeo
science_attraction,arts_and_entertainment > science_attraction,entertainment_location,,
makerspace,arts_and_entertainment > science_attraction > makerspace,makerspace,makerspace,arts_and_entertainment > makerspace
observatory,arts_and_entertainment > science_attraction > observatory,entertainment_location,observatory,attractions_and_activities > observatory
planetarium,arts_and_entertainment > science_attraction > planetarium,entertainment_location,planetarium,arts_and_entertainment > planetarium
virtual_reality_center,arts_and_entertainment > science_attraction > virtual_reality_center,entertainment_location,virtual_reality_center,arts_and_entertainment > virtual_reality_center
vr_cafe,arts_and_entertainment > science_attraction > virtual_reality_center > vr_cafe,entertainment_location,,
social_club,arts_and_entertainment > social_club,social_club,social_club,arts_and_entertainment > social_club
country_club,arts_and_entertainment > social_club > country_club,country_club,country_club,arts_and_entertainment > country_club
fraternal_organization,arts_and_entertainment > social_club > fraternal_organization,social_club,fraternal_organization,arts_and_entertainment > social_club > fraternal_organization
veterans_organization,arts_and_entertainment > social_club > veterans_organization,social_club,veterans_organization,arts_and_entertainment > social_club > veterans_organization
spiritual_advising,arts_and_entertainment > spiritual_advising,spiritual_advising,supernatural_reading,arts_and_entertainment > supernatural_reading
spiritual_advising,arts_and_entertainment > spiritual_advising,spiritual_advising,mystic,arts_and_entertainment > supernatural_reading > mystic
astrological_advising,arts_and_entertainment > spiritual_advising > astrological_advising,astrological_advising,astrologer,arts_and_entertainment > supernatural_reading > astrologer
psychic_advising,arts_and_entertainment > spiritual_advising > psychic_advising,psychic_advising,psychic,arts_and_entertainment > supernatural_reading > psychic
psychic_advising,arts_and_entertainment > spiritual_advising > psychic_advising,psychic_advising,psychic_medium,arts_and_entertainment > supernatural_reading > psychic_medium
stadium_arena,arts_and_entertainment > stadium_arena,sport_stadium,stadium_arena,arts_and_entertainment > stadium_arena
arena,arts_and_entertainment > stadium_arena > arena,sport_stadium,,
stadium,arts_and_entertainment > stadium_arena > stadium,sport_stadium,,
baseball_stadium,arts_and_entertainment > stadium_arena > stadium > baseball_stadium,sport_stadium,baseball_stadium,arts_and_entertainment > stadium_arena > baseball_stadium
basketball_stadium,arts_and_entertainment > stadium_arena > stadium > basketball_stadium,sport_stadium,basketball_stadium,arts_and_entertainment > stadium_arena > basketball_stadium
cricket_ground,arts_and_entertainment > stadium_arena > stadium > cricket_ground,sport_stadium,cricket_ground,arts_and_entertainment > stadium_arena > cricket_ground
football_stadium,arts_and_entertainment > stadium_arena > stadium > football_stadium,sport_stadium,football_stadium,arts_and_entertainment > stadium_arena > football_stadium
hockey_arena,arts_and_entertainment > stadium_arena > stadium > hockey_arena,sport_stadium,hockey_arena,arts_and_entertainment > stadium_arena > hockey_arena
rugby_stadium,arts_and_entertainment > stadium_arena > stadium > rugby_stadium,sport_stadium,rugby_stadium,arts_and_entertainment > stadium_arena > rugby_stadium
soccer_stadium,arts_and_entertainment > stadium_arena > stadium > soccer_stadium,sport_stadium,soccer_stadium,arts_and_entertainment > stadium_arena > soccer_stadium
tennis_stadium,arts_and_entertainment > stadium_arena > stadium > tennis_stadium,sport_stadium,tennis_stadium,arts_and_entertainment > stadium_arena > tennis_stadium
track_stadium,arts_and_entertainment > stadium_arena > stadium > track_stadium,sport_stadium,track_stadium,arts_and_entertainment > stadium_arena > track_stadium
ticket_office_or_booth,arts_and_entertainment > ticket_office_or_booth,entertainment_location,ticket_sales,arts_and_entertainment > ticket_sales
community_and_government,community_and_government,civic_organization_office,public_service_and_government,public_service_and_government
armed_forces_branch,community_and_government > armed_forces_branch,military_site,armed_forces_branch,public_service_and_government > armed_forces_branch
chambers_of_commerce,community_and_government > chambers_of_commerce,government_office,chambers_of_commerce,public_service_and_government > chambers_of_commerce
children_hall,community_and_government > children_hall,civic_organization_office,children_hall,public_service_and_government > children_hall
civic_center,community_and_government > civic_center,civic_center,civic_center,public_service_and_government > civic_center
community_center,community_and_government > community_center,community_center,community_center,public_service_and_government > community_center
community_service,community_and_government > community_service,social_or_community_service,community_services_non_profits,public_service_and_government > community_services
disability_services_and_support_organization,community_and_government > community_service > disability_services_and_support_organization,civic_organization_office,disability_services_and_support_organization,public_service_and_government > community_services > disability_services_and_support_organization
courthouse,community_and_government > courthouse,government_office,courthouse,public_service_and_government > courthouse
department_of_motor_vehicles,community_and_government > department_of_motor_vehicles,government_office,department_of_motor_vehicles,public_service_and_government > department_of_motor_vehicles
department_of_social_service,community_and_government > department_of_social_service,government_office,department_of_social_service,public_service_and_government > department_of_social_service
embassy,community_and_government > embassy,government_office,embassy,public_service_and_government > embassy
family_service_center,community_and_government > family_service_center,family_service,family_service_center,public_service_and_government > family_service_center
fire_department,community_and_government > fire_department,fire_station,fire_department,public_service_and_government > fire_department
government_office,community_and_government > government_office,government_office,central_government_office,public_service_and_government > central_government_office
government_office,community_and_government > government_office,government_office,federal_government_offices,public_service_and_government > federal_government_offices
government_office,community_and_government > government_office,government_office,government_services,public_service_and_government > government_services
government_office,community_and_government > government_office,government_office,local_and_state_government_offices,public_service_and_government > local_and_state_government_offices
social_security_service,community_and_government > government_office > social_security_service,government_office,social_security_services,public_service_and_government > government_services > social_security_services
immigration_and_naturalization,community_and_government > immigration_and_naturalization,government_office,immigration_and_naturalization,public_service_and_government > immigration_and_naturalization
jail_and_prison,community_and_government > jail_and_prison,jail_or_prison,jail_and_prison,public_service_and_government > jail_and_prison
juvenile_detention_center,community_and_government > jail_and_prison > juvenile_detention_center,jail_or_prison,juvenile_detention_center,public_service_and_government > jail_and_prison > juvenile_detention_center
law_enforcement,community_and_government > law_enforcement,police_station,law_enforcement,public_service_and_government > law_enforcement
library,community_and_government > library,library,library,public_service_and_government > library
low_income_housing,community_and_government > low_income_housing,social_or_community_service,low_income_housing,public_service_and_government > low_income_housing
national_security_service,community_and_government > national_security_service,government_office,national_security_services,public_service_and_government > national_security_services
office_of_vital_records,community_and_government > office_of_vital_records,government_office,office_of_vital_records,public_service_and_government > office_of_vital_records
organization,community_and_government > organization,civic_organization_office,organization,public_service_and_government > organization
agriculture_association,community_and_government > organization > agriculture_association,civic_organization_office,agriculture_association,public_service_and_government > organization > agriculture_association
environmental_conservation_organization,community_and_government > organization > environmental_conservation_organization,conservation_organization,environmental_conservation_organization,public_service_and_government > organization > environmental_conservation_organization
environmental_conservation_organization,community_and_government > organization > environmental_conservation_organization,conservation_organization,environmental_conservation_and_ecological_organizations,business_to_business > business_to_business_services > environmental_and_ecological_services_for_businesses > environmental_conservation_and_ecological_organizations
home_organization,community_and_government > organization > home_organization,social_or_community_service,home_organization,public_service_and_government > organization > home_organization
labor_union,community_and_government > organization > labor_union,labor_union,labor_union,public_service_and_government > organization > labor_union
non_governmental_association,community_and_government > organization > non_governmental_association,civic_organization_office,non_governmental_association,public_service_and_government > organization > non_governmental_association
political_organization,community_and_government > organization > political_organization,political_organization,political_organization,public_service_and_government > organization > political_organization
private_association,community_and_government > organization > private_association,business_location,private_association,public_service_and_government > organization > private_association
public_and_government_association,community_and_government > organization > public_and_government_association,civic_organization_office,public_and_government_association,public_service_and_government > organization > public_and_government_association
social_service_organization,community_and_government > organization > social_service_organization,social_or_community_service,social_service_organizations,public_service_and_government > organization > social_service_organizations
charity_organization,community_and_government > organization > social_service_organization > charity_organization,charity_organization,charity_organization,public_service_and_government > organization > social_service_organizations > charity_organization
child_protection_service,community_and_government > organization > social_service_organization > child_protection_service,child_protection_service,child_protection_service,public_service_and_government > organization > social_service_organizations > child_protection_service
food_bank,community_and_government > organization > social_service_organization > food_bank,food_bank,food_banks,public_service_and_government > organization > social_service_organizations > food_banks
foster_care_service,community_and_government > organization > social_service_organization > foster_care_service,foster_care_service,foster_care_services,public_service_and_government > organization > social_service_organizations > foster_care_services
gay_and_lesbian_services_organization,community_and_government > organization > social_service_organization > gay_and_lesbian_services_organization,social_or_community_service,gay_and_lesbian_services_organization,public_service_and_government > organization > social_service_organizations > gay_and_lesbian_services_organization
homeless_shelter,community_and_government > organization > social_service_organization > homeless_shelter,homeless_shelter,homeless_shelter,public_service_and_government > organization > social_service_organizations > homeless_shelter
housing_authority,community_and_government > organization > social_service_organization > housing_authority,social_or_community_service,housing_authorities,public_service_and_government > organization > social_service_organizations > housing_authorities
senior_citizen_service,community_and_government > organization > social_service_organization > senior_citizen_service,senior_citizen_service,senior_citizen_services,public_service_and_government > organization > social_service_organizations > senior_citizen_services
social_and_human_service,community_and_government > organization > social_service_organization > social_and_human_service,social_or_community_service,social_and_human_services,public_service_and_government > organization > social_service_organizations > social_and_human_services
social_welfare_center,community_and_government > organization > social_service_organization > social_welfare_center,social_or_community_service,social_welfare_center,public_service_and_government > organization > social_service_organizations > social_welfare_center
volunteer_association,community_and_government > organization > social_service_organization > volunteer_association,social_or_community_service,volunteer_association,public_service_and_government > organization > social_service_organizations > volunteer_association
youth_organization,community_and_government > organization > social_service_organization > youth_organization,youth_organization,youth_organizations,public_service_and_government > organization > social_service_organizations > youth_organizations
pension,community_and_government > pension,government_office,pension,public_service_and_government > pension
police_department,community_and_government > police_department,police_station,police_department,public_service_and_government > police_department
political_party_office,community_and_government > political_party_office,political_organization,political_party_office,public_service_and_government > political_party_office
post_office,community_and_government > post_office,post_office,post_office,public_service_and_government > post_office
shipping_collection_service,community_and_government > post_office > shipping_collection_service,post_office,shipping_collection_services,public_service_and_government > post_office > shipping_collection_services
public_toilet,community_and_government > public_toilet,public_toilet,public_toilet,public_service_and_government > public_toilet
public_utility_provider,community_and_government > public_utility_provider,public_utility_service,public_utility_company,public_service_and_government > public_utility_company
public_utility_provider,community_and_government > public_utility_provider,public_utility_service,utility_service,professional_services > utility_service
electric_utility_provider,community_and_government > public_utility_provider > electric_utility_provider,electric_utility_service,electric_utility_provider,public_service_and_government > public_utility_company > electric_utility_provider
electric_utility_provider,community_and_government > public_utility_provider > electric_utility_provider,electric_utility_service,electricity_supplier,professional_services > utility_service > electricity_supplier
garbage_collection_service,community_and_government > public_utility_provider > garbage_collection_service,garbage_collection_service,garbage_collection_service,professional_services > utility_service > garbage_collection_service
natural_gas_utility_provider,community_and_government > public_utility_provider > natural_gas_utility_provider,natural_gas_utility_service,natural_gas_supplier,professional_services > utility_service > natural_gas_supplier
public_phone,community_and_government > public_utility_provider > public_phone,public_utility_service,public_phones,professional_services > utility_service > public_phones
public_restroom,community_and_government > public_utility_provider > public_restroom,public_toilet,public_restrooms,professional_services > utility_service > public_restrooms
water_utility_provider,community_and_government > public_utility_provider > water_utility_provider,water_utility_service,water_supplier,professional_services > utility_service > water_supplier
railway_service,community_and_government > railway_service,transportation_location,railway_service,public_service_and_government > railway_service
registry_office,community_and_government > registry_office,government_office,registry_office,public_service_and_government > registry_office
retirement_home,community_and_government > retirement_home,social_or_community_service,retirement_home,public_service_and_government > retirement_home
scout_hall,community_and_government > scout_hall,social_or_community_service,scout_hall,public_service_and_government > scout_hall
tax_office,community_and_government > tax_office,government_office,tax_office,public_service_and_government > tax_office
town_hall,community_and_government > town_hall,government_office,town_hall,public_service_and_government > town_hall
unemployment_office,community_and_government > unemployment_office,government_office,unemployment_office,public_service_and_government > unemployment_office
weather_station,community_and_government > weather_station,media_service,weather_station,public_service_and_government > weather_station
cultural_and_historic,cultural_and_historic,cultural_civic_location,,
architectural_landmark,cultural_and_historic > architectural_landmark,historic_site,architecture,attractions_and_activities > architecture
architectural_landmark,cultural_and_historic > architectural_landmark,historic_site,landmark_and_historical_building,attractions_and_activities > landmark_and_historical_building
castle,cultural_and_historic > architectural_landmark > castle,castle,castle,attractions_and_activities > castle
fort,cultural_and_historic > architectural_landmark > fort,fort,fort,attractions_and_activities > fort
lighthouse,cultural_and_historic > architectural_landmark > lighthouse,lighthouse,lighthouse,attractions_and_activities > lighthouse
mission,cultural_and_historic > architectural_landmark > mission,religious_organization,mission,religious_organization > mission
palace,cultural_and_historic > architectural_landmark > palace,historic_site,palace,attractions_and_activities > palace
ruin,cultural_and_historic > architectural_landmark > ruin,historic_site,ruin,attractions_and_activities > ruin
tower,cultural_and_historic > architectural_landmark > tower,communication_tower,tower,structure_and_geography > tower
cultural_center,cultural_and_historic > cultural_center,entertainment_location,cultural_center,attractions_and_activities > cultural_center
memorial_park,cultural_and_historic > memorial_park,memorial_site,memorial_park,attractions_and_activities > park > memorial_park
monument,cultural_and_historic > monument,monument,monument,attractions_and_activities > monument
religious_organization,cultural_and_historic > religious_organization,religious_organization,religious_organization,religious_organization
religious_organization,cultural_and_historic > religious_organization,religious_organization,convents_and_monasteries,religious_organization > convents_and_monasteries
religious_organization,cultural_and_historic > religious_organization,religious_organization,religious_destination,religious_organization > religious_destination
convent,cultural_and_historic > religious_organization > convent,religious_organization,,
monastery,cultural_and_historic > religious_organization > monastery,religious_organization,,
pilgrimage_site,cultural_and_historic > religious_organization > pilgrimage_site,religious_organization,,
buddhist_pilgrimage_site,cultural_and_historic > religious_organization > pilgrimage_site > buddhist_pilgrimage_site,religious_organization,,
christian_pilgrimage_site,cultural_and_historic > religious_organization > pilgrimage_site > christian_pilgrimage_site,religious_organization,,
hindu_pilgrimage_site,cultural_and_historic > religious_organization > pilgrimage_site > hindu_pilgrimage_site,religious_organization,,
muslim_pilgrimage_site,cultural_and_historic > religious_organization > pilgrimage_site > muslim_pilgrimage_site,religious_organization,,
place_of_worship,cultural_and_historic > religious_organization > place_of_worship,place_of_worship,,
place_of_worship,cultural_and_historic > religious_organization > place_of_worship,place_of_worship,temple,religious_organization > temple
buddhist_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > buddhist_place_of_worship,buddhist_place_of_worship,buddhist_temple,religious_organization > buddhist_temple
mahayana_buddhist_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > buddhist_place_of_worship > mahayana_buddhist_place_of_worship,buddhist_place_of_worship,,
nichiren_buddhist_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > buddhist_place_of_worship > mahayana_buddhist_place_of_worship > nichiren_buddhist_place_of_worship,buddhist_place_of_worship,,
pure_land_buddhist_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > buddhist_place_of_worship > mahayana_buddhist_place_of_worship > pure_land_buddhist_place_of_worship,buddhist_place_of_worship,,
zen_buddhist_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > buddhist_place_of_worship > mahayana_buddhist_place_of_worship > zen_buddhist_place_of_worship,buddhist_place_of_worship,,
theravada_buddhist_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > buddhist_place_of_worship > theravada_buddhist_place_of_worship,buddhist_place_of_worship,,
vajrayana_buddhist_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > buddhist_place_of_worship > vajrayana_buddhist_place_of_worship,buddhist_place_of_worship,,
christian_place_of_worshop,cultural_and_historic > religious_organization > place_of_worship > christian_place_of_worshop,christian_place_of_worshop,church_cathedral,religious_organization > church_cathedral
church_of_the_east_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > christian_place_of_worshop > church_of_the_east_place_of_worship,christian_place_of_worshop,,
eastern_orthodox_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > christian_place_of_worshop > eastern_orthodox_place_of_worship,christian_place_of_worshop,,
antiochan_orthodox_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > christian_place_of_worshop > eastern_orthodox_place_of_worship > antiochan_orthodox_place_of_worship,christian_place_of_worshop,,
bulgarian_orthodox_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > christian_place_of_worshop > eastern_orthodox_place_of_worship > bulgarian_orthodox_place_of_worship,christian_place_of_worshop,,
georgian_orthodox_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > christian_place_of_worshop > eastern_orthodox_place_of_worship > georgian_orthodox_place_of_worship,christian_place_of_worshop,,
greek_orthodox_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > christian_place_of_worshop > eastern_orthodox_place_of_worship > greek_orthodox_place_of_worship,christian_place_of_worshop,,
romanian_orthodox_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > christian_place_of_worshop > eastern_orthodox_place_of_worship > romanian_orthodox_place_of_worship,christian_place_of_worshop,,
russian_orthodox_place_of_worship,cultural_and_historic > religious_organization > place_of_worship > christian_place_of_worshop > eastern_orthodox_place_of_worship > russian_orthodox_place_of_worship,christian_place_of_worshop,,
