Basic hierarchy,Basic label,Modified,Remove from V1,Match type,Overture label,Overture hierarchy
Business location > B2B service,b2b_service,,,NARROWER,inventory_control_service,business_to_business > commercial_industrial > inventory_control_service
Business location > B2B service,b2b_service,,,NARROWER,ironworkers,professional_services > construction_services > metal_materials_and_experts > ironworkers
Business location > B2B service,b2b_service,,,NARROWER,laboratory,professional_services > laboratory
Business location > B2B service,b2b_service,,,NARROWER,laser_cutting_service_provider,business_to_business > business_to_business_services > laser_cutting_service_provider
Business location > B2B service,b2b_service,,,NARROWER,manufacturers_agents_and_representatives,business_to_business > business_to_business_services > domestic_business_and_trade_organizations > manufacturers_agents_and_representatives
Business location > B2B service,b2b_service,,,NARROWER,mediator,professional_services > mediator
Business location > B2B service,b2b_service,,,NARROWER,medical_research_and_development,business_to_business > b2b_medical_support_services > medical_research_and_development
Business location > B2B service,b2b_service,,,NARROWER,metal_materials_and_experts,professional_services > construction_services > metal_materials_and_experts
Business location > B2B service,b2b_service,,,NARROWER,mooring_service,professional_services > mooring_service
Business location > B2B service,b2b_service,,,NARROWER,occupational_safety,business_to_business > commercial_industrial > occupational_safety
Business location > B2B service,b2b_service,,,NARROWER,packaging_contractors_and_service,professional_services > packaging_contractors_and_service
Business location > B2B service,b2b_service,,,NARROWER,pharmaceutical_companies,business_to_business > b2b_medical_support_services > pharmaceutical_companies
Business location > B2B service,b2b_service,,,NARROWER,powder_coating_service,professional_services > powder_coating_service
Business location > B2B service,b2b_service,,,NARROWER,research_institute,business_to_business > b2b_science_and_technology > research_institute
Business location > B2B service,b2b_service,,,NARROWER,restaurant_management,business_to_business > business_to_business_services > restaurant_management
Business location > B2B service,b2b_service,,,NARROWER,road_contractor,professional_services > construction_services > road_contractor
Business location > B2B service,b2b_service,,,NARROWER,sandblasting_service,professional_services > sandblasting_service
Business location > B2B service,b2b_service,,,NARROWER,scientific_laboratories,business_to_business > b2b_science_and_technology > scientific_laboratories
Business location > B2B service,b2b_service,,,NARROWER,surgical_appliances_and_supplies,business_to_business > b2b_medical_support_services > surgical_appliances_and_supplies
Business location > B2B service,b2b_service,,,NARROWER,transcription_services,business_to_business > business_to_business_services > transcription_services
Business location > B2B service,b2b_service,,,NARROWER,translating_and_interpreting_services,business_to_business > business_to_business_services > translating_and_interpreting_services
Business location > B2B service,b2b_service,,,NARROWER,water_treatment_equipment_and_services,business_to_business > business_to_business_services > environmental_and_ecological_services_for_businesses > b2b_cleaning_and_waste_management > water_treatment_equipment_and_services
Business location > B2B service,b2b_service,,,NARROWER,welders,professional_services > construction_services > metal_materials_and_experts > welders
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,agricultural_cooperatives,business_to_business > b2b_agriculture_and_food > agricultural_cooperatives
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,agricultural_engineering_service,business_to_business > b2b_agriculture_and_food > agricultural_engineering_service
Business location > B2B service > Agricultural service,agricultural_service,,,EXACT,agricultural_service,business_to_business > b2b_agriculture_and_food > agricultural_service
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,b2b_agriculture_and_food,business_to_business > b2b_agriculture_and_food
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,b2b_food_products,business_to_business > b2b_agriculture_and_food > b2b_food_products
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,farm_equipment_and_supply,business_to_business > b2b_agriculture_and_food > b2b_farming > farm_equipment_and_supply
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,farm_equipment_repair_service,professional_services > farm_equipment_repair_service
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,farming_services,business_to_business > b2b_agriculture_and_food > b2b_farming > farming_services
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,fertilizer_store,business_to_business > b2b_agriculture_and_food > b2b_farming > farm_equipment_and_supply > fertilizer_store
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,grain_elevators,business_to_business > b2b_agriculture_and_food > b2b_farming > farm_equipment_and_supply > grain_elevators
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,irrigation_companies,business_to_business > b2b_agriculture_and_food > b2b_farming > farm_equipment_and_supply > irrigation_companies
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,livestock_breeder,business_to_business > b2b_agriculture_and_food > livestock_breeder
Business location > B2B service > Agricultural service,agricultural_service,,,NARROWER,livestock_dealers,business_to_business > b2b_agriculture_and_food > livestock_dealers
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,advertising_agency,professional_services > advertising_agency
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,business_advertising,business_to_business > business_advertising
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,business_signage,business_to_business > business_advertising > business_signage
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,direct_mail_advertising,business_to_business > business_advertising > direct_mail_advertising
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,internet_marketing_service,professional_services > internet_marketing_service
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,marketing_agency,professional_services > marketing_agency
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,marketing_consultant,business_to_business > business_advertising > marketing_consultant
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,merchandising_service,professional_services > merchandising_service
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,newspaper_advertising,business_to_business > business_advertising > newspaper_advertising
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,outdoor_advertising,business_to_business > business_advertising > outdoor_advertising
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,promotional_products_and_services,business_to_business > business_advertising > promotional_products_and_services
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,publicity_service,business_to_business > business_advertising > publicity_service
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,radio_and_television_commercials,business_to_business > business_advertising > radio_and_television_commercials
Business location > B2B service > Business advertising or marketing,business_advertising_marketing,,,NARROWER,telemarketing_services,business_to_business > business_advertising > telemarketing_services
Business location > B2B service > Business cleaning service,business_cleaning_service,,,CLOSE,cleaning_services,professional_services > cleaning_services
Business location > B2B service > Business cleaning service,business_cleaning_service,,,CLOSE,industrial_cleaning_services,professional_services > cleaning_services > industrial_cleaning_services
Business location > B2B service > Business cleaning service,business_cleaning_service,,,CLOSE,janitorial_services,professional_services > cleaning_services > janitorial_services
Business location > B2B service > Business cleaning service,business_cleaning_service,,,CLOSE,office_cleaning,professional_services > cleaning_services > office_cleaning
Business location > B2B service > Business management service,business_management_service,,,EXACT,business_management_services,business_to_business > business_to_business_services > consultant_and_general_service > business_management_services
Business location > B2B service > Business management service,business_management_service,,,NARROWER,consultant_and_general_service,business_to_business > business_to_business_services > consultant_and_general_service
Business location > B2B service > Business management service,business_management_service,,,NARROWER,executive_search_consultants,business_to_business > business_to_business_services > consultant_and_general_service > executive_search_consultants
Business location > B2B service > Business management service,business_management_service,,,NARROWER,food_consultant,business_to_business > business_to_business_services > consultant_and_general_service > food_consultant
Business location > B2B service > Business management service,business_management_service,,,NARROWER,manufacturing_and_industrial_consultant,business_to_business > business_to_business_services > consultant_and_general_service > manufacturing_and_industrial_consultant
Business location > B2B service > Business management service,business_management_service,,,NARROWER,public_relations,professional_services > public_relations
Business location > B2B service > Business management service,business_management_service,,,NARROWER,secretarial_services,business_to_business > business_to_business_services > consultant_and_general_service > secretarial_services
Business location > B2B service > Engineering service,engineering_service,,,NARROWER,civil_engineers,professional_services > construction_services > engineering_services > civil_engineers
Business location > B2B service > Engineering service,engineering_service,,,EXACT,engineering_services,professional_services > construction_services > engineering_services
Business location > B2B service > Engineering service,engineering_service,,,NARROWER,instrumentation_engineers,professional_services > construction_services > engineering_services > instrumentation_engineers
Business location > B2B service > Engineering service,engineering_service,,,NARROWER,mechanical_engineers,professional_services > construction_services > engineering_services > mechanical_engineers
Business location > B2B service > Engineering service,engineering_service,,,NARROWER,product_design,professional_services > product_design
Business location > B2B service > Human resource service,human_resource_service,,,NARROWER,background_check_services,business_to_business > business_to_business_services > human_resource_services > background_check_services
Business location > B2B service > Human resource service,human_resource_service,,,NARROWER,employment_agencies,professional_services > employment_agencies
Business location > B2B service > Human resource service,human_resource_service,,,EXACT,human_resource_services,business_to_business > business_to_business_services > human_resource_services
Business location > B2B service > Human resource service,human_resource_service,,,NARROWER,payroll_services,professional_services > payroll_services
Business location > B2B service > Human resource service,human_resource_service,,,NARROWER,talent_agency,professional_services > talent_agency
Business location > B2B service > Human resource service,human_resource_service,,,NARROWER,temp_agency,professional_services > employment_agencies > temp_agency
Business location > B2B service > Information technology service,information_technology_service,,,CLOSE,information_technology_company,business_to_business > business_to_business_services > information_technology_company
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,abrasives_supplier,business_to_business > business_manufacturing_and_supply > abrasives_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,aggregate_supplier,business_to_business > business_manufacturing_and_supply > aggregate_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,aluminum_supplier,business_to_business > business_manufacturing_and_supply > aluminum_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,awning_supplier,professional_services > awning_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_apparel,business_to_business > business_manufacturing_and_supply > b2b_apparel
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_autos_and_vehicles,business_to_business > business_manufacturing_and_supply > b2b_autos_and_vehicles
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_electronic_equipment,business_to_business > business_manufacturing_and_supply > b2b_electronic_equipment
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_equipment_maintenance_and_repair,business_to_business > business_manufacturing_and_supply > b2b_machinery_and_tools > b2b_equipment_maintenance_and_repair
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_forklift_dealers,business_to_business > business_storage_and_transportation > trucks_and_industrial_vehicles > b2b_forklift_dealers
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_furniture_and_housewares,business_to_business > business_manufacturing_and_supply > b2b_furniture_and_housewares
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_hardware,business_to_business > business_manufacturing_and_supply > b2b_hardware
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_jewelers,business_to_business > business_manufacturing_and_supply > b2b_jewelers
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_machinery_and_tools,business_to_business > business_manufacturing_and_supply > b2b_machinery_and_tools
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_rubber_and_plastics,business_to_business > business_manufacturing_and_supply > b2b_rubber_and_plastics
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_sporting_and_recreation_goods,business_to_business > business_manufacturing_and_supply > b2b_sporting_and_recreation_goods
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_textiles,business_to_business > business_manufacturing_and_supply > b2b_textiles
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_tires,business_to_business > business_manufacturing_and_supply > b2b_autos_and_vehicles > b2b_tires
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_tractor_dealers,business_to_business > business_storage_and_transportation > trucks_and_industrial_vehicles > b2b_tractor_dealers
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,b2b_truck_equipment_parts_and_accessories,business_to_business > business_storage_and_transportation > trucks_and_industrial_vehicles > b2b_truck_equipment_parts_and_accessories
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,battery_inverter_supplier,business_to_business > business_manufacturing_and_supply > battery_inverter_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,bearing_supplier,business_to_business > business_manufacturing_and_supply > bearing_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,beauty_product_supplier,business_to_business > business_equipment_and_supply > beauty_product_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,beverage_supplier,business_to_business > business_equipment_and_supply > beverage_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,CLOSE,business_equipment_and_supply,business_to_business > business_equipment_and_supply
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,casting_molding_and_machining,business_to_business > business_manufacturing_and_supply > casting_molding_and_machining
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,cement_supplier,business_to_business > business_manufacturing_and_supply > cement_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,chemical_plant,business_to_business > business_manufacturing_and_supply > chemical_plant
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,cleaning_products_supplier,business_to_business > business_manufacturing_and_supply > cleaning_products_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,corporate_gift_supplier,private_establishments_and_corporates > corporate_gift_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,cotton_mill,business_to_business > business_manufacturing_and_supply > mills > cotton_mill
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,drinking_water_dispenser,business_to_business > business_manufacturing_and_supply > drinking_water_dispenser
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,electronic_parts_supplier,business_to_business > business_equipment_and_supply > electronic_parts_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,energy_equipment_and_solution,business_to_business > business_equipment_and_supply > energy_equipment_and_solution
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,fastener_supplier,business_to_business > business_manufacturing_and_supply > fastener_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,flour_mill,business_to_business > business_manufacturing_and_supply > mills > flour_mill
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,food_beverage_service_distribution,business_to_business > business > food_beverage_service_distribution
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,granite_supplier,business_to_business > business_manufacturing_and_supply > granite_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,hotel_supply_service,business_to_business > business > hotel_supply_service
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,hvac_supplier,business_to_business > business_manufacturing_and_supply > hvac_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,hydraulic_equipment_supplier,business_to_business > business_equipment_and_supply > hydraulic_equipment_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,ice_supplier,professional_services > ice_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,industrial_equipment,business_to_business > business_manufacturing_and_supply > b2b_machinery_and_tools > industrial_equipment
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,iron_and_steel_industry,business_to_business > business_manufacturing_and_supply > metals > metal_fabricator > iron_and_steel_industry
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,iron_work,business_to_business > business_manufacturing_and_supply > metals > metal_fabricator > iron_and_steel_industry > iron_work
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,laboratory_equipment_supplier,business_to_business > business_equipment_and_supply > laboratory_equipment_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,logging_contractor,business_to_business > business_manufacturing_and_supply > wood_and_pulp > logging_contractor
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,logging_equipment_and_supplies,business_to_business > business_manufacturing_and_supply > wood_and_pulp > logging_equipment_and_supplies
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,logging_services,business_to_business > business_manufacturing_and_supply > wood_and_pulp > logging_services
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,metal_fabricator,business_to_business > business_manufacturing_and_supply > metals > metal_fabricator
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,metal_plating_service,business_to_business > business_manufacturing_and_supply > metals > metal_plating_service
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,metal_supplier,business_to_business > business_manufacturing_and_supply > metals > metal_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,metals,business_to_business > business_manufacturing_and_supply > metals
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,mills,business_to_business > business_manufacturing_and_supply > mills
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,paper_mill,business_to_business > business_manufacturing_and_supply > mills > paper_mill
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,pipe_supplier,business_to_business > business_manufacturing_and_supply > pipe_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,plastic_company,business_to_business > business_manufacturing_and_supply > b2b_rubber_and_plastics > plastic_company
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,plastic_fabrication_company,business_to_business > business_manufacturing_and_supply > plastic_fabrication_company
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,plastic_injection_molding_workshop,business_to_business > business_manufacturing_and_supply > plastic_injection_molding_workshop
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,printing_equipment_and_supply,business_to_business > business_manufacturing_and_supply > printing_equipment_and_supply
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,propane_supplier,professional_services > propane_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,restaurant_equipment_and_supply,business_to_business > business_equipment_and_supply > restaurant_equipment_and_supply
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,retaining_wall_supplier,business_to_business > business_manufacturing_and_supply > retaining_wall_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,rice_mill,business_to_business > business_manufacturing_and_supply > mills > rice_mill
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,sand_and_gravel_supplier,business_to_business > business_manufacturing_and_supply > sand_and_gravel_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,saw_mill,business_to_business > business_manufacturing_and_supply > mills > saw_mill
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,scale_supplier,business_to_business > business_manufacturing_and_supply > scale_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,scrap_metals,business_to_business > business_manufacturing_and_supply > metals > scrap_metals
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,seal_and_hanko_dealers,business_to_business > business_manufacturing_and_supply > seal_and_hanko_dealers
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,sheet_metal,business_to_business > business_manufacturing_and_supply > metals > sheet_metal
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,shoe_factory,business_to_business > business_manufacturing_and_supply > shoe_factory
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,spring_supplier,business_to_business > business_manufacturing_and_supply > spring_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,steel_fabricators,business_to_business > business_manufacturing_and_supply > metals > steel_fabricators
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,stone_supplier,business_to_business > business_manufacturing_and_supply > stone_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,tent_house_supplier,professional_services > tent_house_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,textile_mill,business_to_business > business_manufacturing_and_supply > mills > textile_mill
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,thread_supplier,business_to_business > business_equipment_and_supply > thread_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,truck_dealer_for_businesses,business_to_business > business_storage_and_transportation > trucks_and_industrial_vehicles > truck_dealer_for_businesses
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,truck_repair_and_services_for_businesses,business_to_business > business_storage_and_transportation > trucks_and_industrial_vehicles > truck_repair_and_services_for_businesses
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,trucks_and_industrial_vehicles,business_to_business > business_storage_and_transportation > trucks_and_industrial_vehicles
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,turnery,business_to_business > business_manufacturing_and_supply > turnery
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,vending_machine_supplier,business_to_business > business_equipment_and_supply > vending_machine_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,water_softening_equipment_supplier,business_to_business > business_equipment_and_supply > water_softening_equipment_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,weaving_mill,business_to_business > business_manufacturing_and_supply > mills > weaving_mill
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,window_supplier,business_to_business > business_manufacturing_and_supply > window_supplier
Business location > B2B supplier or distributor,b2b_supplier_distributor,,,NARROWER,wood_and_pulp,business_to_business > business_manufacturing_and_supply > wood_and_pulp
Business location > B2B supplier or distributor > Import export company,import_export_company,,,NARROWER,exporters,business_to_business > business_to_business_services > international_business_and_trade_services > importer_and_exporter > exporters
Business location > B2B supplier or distributor > Import export company,import_export_company,,,NARROWER,food_and_beverage_exporter,business_to_business > business_to_business_services > international_business_and_trade_services > importer_and_exporter > exporters > food_and_beverage_exporter
Business location > B2B supplier or distributor > Import export company,import_export_company,,,EXACT,importer_and_exporter,business_to_business > business_to_business_services > international_business_and_trade_services > importer_and_exporter
Business location > B2B supplier or distributor > Import export company,import_export_company,,,NARROWER,importers,business_to_business > business_to_business_services > international_business_and_trade_services > importer_and_exporter > importers
Business location > B2B supplier or distributor > Wholesaler,wholesaler,,,NARROWER,computer_wholesaler,business_to_business > business_equipment_and_supply > wholesaler > computer_wholesaler
Business location > B2B supplier or distributor > Wholesaler,wholesaler,,,NARROWER,electrical_wholesaler,business_to_business > business_equipment_and_supply > wholesaler > electrical_wholesaler
Business location > B2B supplier or distributor > Wholesaler,wholesaler,,,NARROWER,fabric_wholesaler,business_to_business > business_equipment_and_supply > wholesaler > fabric_wholesaler
Business location > B2B supplier or distributor > Wholesaler,wholesaler,,,NARROWER,fitness_equipment_wholesaler,business_to_business > business_equipment_and_supply > wholesaler > fitness_equipment_wholesaler
