_col0,primary_category,basic_category,primary,hierarchy,alternates
195,agricultural_seed_store,specialty_store,agricultural_seed_store,"[""shopping"",""specialty_store"",""agricultural_seed_store""]",
89295,agricultural_service,agricultural_service,agricultural_service,"[""services_and_business"",""agricultural_service""]",
62301,agriculture,agricultural_area,agriculture,"[""services_and_business"",""business_to_business"",""b2b_agriculture_and_food"",""agriculture""]",
673,agriculture_association,civic_organization_office,agriculture_association,"[""community_and_government"",""organization"",""agriculture_association""]",
977,agriturismo,travel_service,agriturism,"[""travel_and_transportation"",""travel"",""agriturism""]",
1094,air_duct_cleaning_service,hvac_service,air_duct_cleaning_service,"[""services_and_business"",""professional_service"",""air_duct_cleaning_service""]",
535,aircraft_dealer,vehicle_dealer,aircraft_dealer,"[""travel_and_transportation"",""aircraft_and_air_transport"",""aircraft_dealer""]",
581,aircraft_manufacturer,manufacturer,aircraft_manufacturer,"[""services_and_business"",""business_to_business"",""manufacturer"",""aircraft_manufacturer""]",
88,aircraft_parts_and_supplies,air_transport_facility_service,aircraft_parts_and_supplies,"[""travel_and_transportation"",""aircraft_and_air_transport"",""aircraft_parts_and_supplies""]",
804,aircraft_repair,vehicle_service,aircraft_repair,"[""travel_and_transportation"",""aircraft_and_air_transport"",""aircraft_repair""]",
6825,airline,air_transport_facility_service,airline,"[""travel_and_transportation"",""aircraft_and_air_transport"",""airline""]",
103,airline_ticket_agency,air_transport_facility_service,airline_ticket_agency,"[""travel_and_transportation"",""aircraft_and_air_transport"",""airline_ticket_agency""]",
4636,airlines,air_transport_facility_service,airline,"[""travel_and_transportation"",""aircraft_and_air_transport"",""airline""]",
58660,airport,airport,airport,"[""travel_and_transportation"",""aircraft_and_air_transport"",""airport""]",
4106,airport_lounge,eating_drinking_location,airport_lounge,"[""food_and_drink"",""lounge"",""airport_lounge""]",
4404,airport_shuttles,air_transport_facility_service,airport_shuttle,"[""travel_and_transportation"",""aircraft_and_air_transport"",""airport_shuttle""]",
7084,airport_terminal,airport_terminal,airport_terminal,"[""travel_and_transportation"",""aircraft_and_air_transport"",""airport"",""airport_terminal""]",
50,airsoft_fields,sport_field,airsoft_field,"[""sports_and_recreation"",""sports_and_recreation_venue"",""airsoft_field""]",
480,alcohol_and_drug_treatment_center,clinic_or_treatment_center,alcohol_and_drug_treatment_center,"[""health_care"",""alcohol_and_drug_treatment_center""]",
3778,alcohol_and_drug_treatment_centers,clinic_or_treatment_center,alcohol_and_drug_treatment_center,"[""health_care"",""alcohol_and_drug_treatment_center""]",
6195,allergist,allergy_and_immunology,allergist,"[""health_care"",""doctor"",""allergist""]",
3690,altering_and_remodeling_contractor,building_contractor_service,altering_and_remodeling_contractor,"[""services_and_business"",""home_service"",""contractor"",""altering_and_remodeling_contractor""]",
18466,alternative_medicine,alternative_medicine,alternative_medicine,"[""health_care"",""alternative_medicine""]",
371,aluminum_supplier,b2b_supplier_distributor,aluminum_supplier,"[""services_and_business"",""business_to_business"",""supplier_distributor"",""aluminum_supplier""]",
816,amateur_sports_league,amateur_sport_league,amateur_sports_league,"[""sports_and_recreation"",""sports_club_and_league"",""amateur_sports_league""]",
20152,amateur_sports_team,amateur_sport_team,amateur_sports_team,"[""sports_and_recreation"",""sports_club_and_league"",""amateur_sports_team""]",
22158,ambulance_and_ems_services,ambulance_ems_service,ambulance_and_ems_service,"[""health_care"",""ambulance_and_ems_service""]",
203,american_football_field,sport_field,american_football_field,"[""sports_and_recreation"",""sports_and_recreation_venue"",""american_football_field""]",
84933,american_restaurant,restaurant,american_restaurant,"[""food_and_drink"",""restaurant"",""north_american_restaurant"",""american_restaurant""]",
45836,amusement_park,amusement_park,amusement_park,"[""arts_and_entertainment"",""amusement_attraction"",""amusement_park""]",
4164,anesthesiologist,healthcare_location,anesthesiologist,"[""health_care"",""doctor"",""anesthesiologist""]",
20263,anglican_church,christian_place_of_worshop,anglican_or_episcopal_place_of_worshop,"[""cultural_and_historic"",""religious_organization"",""place_of_worship"",""christian_place_of_worshop"",""protestant_place_of_worship"",""anglican_or_episcopal_place_of_worshop""]",
2,animal_assisted_therapy,psychotherapy,animal_assisted_therapy,"[""health_care"",""animal_assisted_therapy""]",
1847,animal_hospital,animal_hospital,animal_hospital,"[""lifestyle_services"",""pets"",""veterinary_care"",""animal_hospital""]",
16,animal_physical_therapy,animal_service,animal_physical_therapy,"[""lifestyle_services"",""pets"",""veterinary_care"",""animal_physical_therapy""]",
3766,animal_rescue_service,animal_rescue,animal_rescue_service,"[""lifestyle_services"",""pets"",""adoption_and_rescue"",""animal_rescue_service""]",
23427,animal_shelter,animal_shelter,animal_shelter,"[""lifestyle_services"",""pets"",""adoption_and_rescue"",""animal_shelter""]",
1512,animation_studio,media_service,animation_studio,"[""services_and_business"",""media_and_news"",""media_news_company"",""animation_studio""]",
100,antenna_service,home_service,antenna_service,"[""services_and_business"",""professional_service"",""antenna_service""]",
70224,antique_store,antique_shop,antique_store,"[""shopping"",""second_hand_store"",""antique_store""]",
1175,apartment_agent,property_management_service,apartment_agent,"[""services_and_business"",""real_estate"",""real_estate_agent"",""apartment_agent""]",
32630,apartments,apartment_building,apartment,"[""services_and_business"",""real_estate"",""apartment""]",
20,apiaries_and_beekeepers,farm,apiary_beekeeper,"[""services_and_business"",""business_to_business"",""b2b_agriculture_and_food"",""apiary_beekeeper""]",
3043,appellate_practice_lawyers,attorney_or_law_firm,appellate_practice_lawyer,"[""services_and_business"",""professional_service"",""lawyer"",""appellate_practice_lawyer""]",
17912,appliance_manufacturer,manufacturer,appliance_manufacturer,"[""services_and_business"",""business_to_business"",""manufacturer"",""appliance_manufacturer""]",
45263,appliance_repair_service,applicance_repair_service,appliance_repair_service,"[""services_and_business"",""professional_service"",""appliance_repair_service""]",
66989,appliance_store,specialty_store,appliance_store,"[""shopping"",""specialty_store"",""home_and_garden_store"",""appliance_store""]",
28926,appraisal_services,building_appraisal_service,appraisal_service,"[""services_and_business"",""professional_service"",""appraisal_service""]",
7020,aquarium,aquarium,aquarium,"[""arts_and_entertainment"",""animal_attraction"",""aquarium""]",
93,aquarium_services,animal_service,aquarium_service,"[""lifestyle_services"",""pets"",""pet_care_service"",""aquarium_service""]",
12268,aquatic_pet_store,pet_store,aquatic_pet_store,"[""shopping"",""specialty_store"",""pet_store"",""aquatic_pet_store""]",
2405,arabian_restaurant,restaurant,arabian_restaurant,"[""food_and_drink"",""restaurant"",""middle_eastern_restaurant"",""arabian_restaurant""]",
29099,arcade,arcade,arcade,"[""arts_and_entertainment"",""gaming_venue"",""arcade""]",
817,archaeological_services,educational_service,archaeological_service,"[""education"",""educational_service"",""archaeological_service""]",
2942,archery_range,shooting_range,archery_range,"[""sports_and_recreation"",""sports_and_recreation_venue"",""archery_range""]",
1347,archery_shop,sporting_goods_store,archery_store,"[""shopping"",""specialty_store"",""sporting_goods_store"",""archery_store""]",
11878,architect,architectural_design_service,architect,"[""services_and_business"",""professional_service"",""architect""]",
103276,architectural_designer,architectural_design_service,architectural_designer,"[""services_and_business"",""professional_service"",""architectural_designer""]",
92,architectural_tours,tour_operator,architectural_tour,"[""travel_and_transportation"",""travel"",""tour"",""architectural_tour""]",
280,architecture,historic_site,architectural_landmark,"[""cultural_and_historic"",""architectural_landmark""]",
63,architecture_schools,college_university,architecture_school,"[""education"",""college_university"",""architecture_school""]",
4464,argentine_restaurant,restaurant,argentine_restaurant,"[""food_and_drink"",""restaurant"",""latin_american_restaurant"",""south_american_restaurant"",""argentine_restaurant""]",
34671,armed_forces_branch,military_site,armed_forces_branch,"[""community_and_government"",""armed_forces_branch""]",
385,armenian_restaurant,restaurant,armenian_restaurant,"[""food_and_drink"",""restaurant"",""middle_eastern_restaurant"",""armenian_restaurant""]",
18,army_and_navy_store,specialty_store,army_and_navy_store,"[""shopping"",""specialty_store"",""army_and_navy_store""]",
4646,aromatherapy,personal_service,aromatherapy,"[""lifestyle_services"",""aromatherapy""]",
156966,art_gallery,art_gallery,art_gallery,"[""arts_and_entertainment"",""arts_and_crafts_space"",""art_gallery""]",
15309,art_museum,art_museum,art_museum,"[""arts_and_entertainment"",""museum"",""art_museum""]",
2283,art_restoration,media_service,art_restoration_service,"[""services_and_business"",""professional_service"",""art_restoration_service""]",
454,art_restoration_service,media_service,art_restoration_service,"[""services_and_business"",""professional_service"",""art_restoration_service""]",
34737,art_school,specialty_school,art_school,"[""education"",""specialty_school"",""art_school""]",
1,art_space_rental,artspace,art_space_rental,"[""services_and_business"",""real_estate"",""art_space_rental""]",
1180,art_supply_store,art_craft_hobby_store,art_supply_store,"[""shopping"",""specialty_store"",""arts_and_crafts_store"",""art_supply_store""]",
21,art_tours,tour_operator,art_tour,"[""travel_and_transportation"",""travel"",""tour"",""art_tour""]",
173,artificial_turf,home_service,artificial_turf,"[""services_and_business"",""home_service"",""artificial_turf""]",
145313,arts_and_crafts,art_craft_hobby_store,arts_and_crafts_store,"[""shopping"",""specialty_store"",""arts_and_crafts_store""]",
193966,arts_and_entertainment,entertainment_location,arts_and_entertainment,"[""arts_and_entertainment""]",
57,asian_art_museum,art_museum,asian_art_museum,"[""arts_and_entertainment"",""museum"",""art_museum"",""asian_art_museum""]",
9741,asian_fusion_restaurant,restaurant,asian_fusion_restaurant,"[""food_and_drink"",""restaurant"",""international_fusion_restaurant"",""asian_fusion_restaurant""]",
444,asian_grocery_store,grocery_store,asian_grocery_store,"[""shopping"",""food_and_beverage_store"",""grocery_store"",""asian_grocery_store""]",
84040,asian_restaurant,restaurant,asian_restaurant,"[""food_and_drink"",""restaurant"",""asian_restaurant""]",
37958,assisted_living_facility,senior_living_facility,assisted_living_facility,"[""health_care"",""assisted_living_facility""]",
8133,astrologer,astrological_advising,astrological_advising,"[""arts_and_entertainment"",""spiritual_advising"",""astrological_advising""]",
41,atelier,art_craft_hobby_store,atelier,"[""shopping"",""specialty_store"",""arts_and_crafts_store"",""atelier""]",
393056,atms,atm,atm,"[""services_and_business"",""financial_service"",""atm""]",
169,attraction_farm,farm,attraction_farm,"[""arts_and_entertainment"",""rural_attraction"",""attraction_farm""]",
112944,attractions_and_activities,entertainment_location,arts_and_entertainment,"[""arts_and_entertainment""]",
706,atv_recreation_park,sport_fitness_facility,atv_recreation_park,"[""sports_and_recreation"",""sports_and_recreation_venue"",""atv_recreation_park""]",
1736,atv_rentals_and_tours,recreational_equipment_rental_service,atv_rental_tour,"[""sports_and_recreation"",""sports_and_recreation_rental_and_service"",""atv_rental_tour""]",
16844,auction_house,specialty_store,auction_house,"[""shopping"",""specialty_store"",""auction_house""]",
17455,audio_visual_equipment_store,electronics_store,audio_visual_equipment_store,"[""shopping"",""specialty_store"",""electronics_store"",""audio_visual_equipment_store""]",
198,audio_visual_production_and_design,b2b_service,audio_visual_production_and_design,"[""services_and_business"",""business_to_business"",""business_to_business_service"",""audio_visual_production_and_design""]",
19652,audiologist,healthcare_location,audiologist,"[""health_care"",""doctor"",""audiologist""]",
4925,audiovisual_equipment_rental,event_or_party_service,audiovisual_equipment_rental,"[""services_and_business"",""professional_service"",""event_planning"",""audiovisual_equipment_rental""]",
20620,auditorium,event_space,auditorium,"[""arts_and_entertainment"",""event_venue"",""auditorium""]",
2056,australian_restaurant,restaurant,australian_restaurant,"[""food_and_drink"",""restaurant"",""pacific_rim_restaurant"",""australian_restaurant""]",
3369,austrian_restaurant,restaurant,austrian_restaurant,"[""food_and_drink"",""restaurant"",""european_restaurant"",""central_european_restaurant"",""austrian_restaurant""]",
86099,auto_body_shop,auto_body_shop,auto_body_shop,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""auto_body_shop""]",
51078,auto_company,corporate_or_business_office,auto_company,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""auto_company""]",
21278,auto_customization,vehicle_service,auto_customization,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""auto_customization""]",
118957,auto_detailing,auto_detailing_service,auto_detailing,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""auto_detailing""]",
7060,auto_electrical_repair,auto_repair_service,auto_electrical_repair,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""automotive_repair"",""auto_electrical_repair""]",
31528,auto_glass_service,auto_glass_service,auto_glass_service,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""auto_glass_service""]",
38845,auto_insurance,insurance_agency,auto_insurance,"[""services_and_business"",""financial_service"",""insurance_agency"",""auto_insurance""]",
6561,auto_loan_provider,loan_provider,auto_loan_provider,"[""services_and_business"",""financial_service"",""installment_loans"",""auto_loan_provider""]",
13070,auto_manufacturers_and_distributors,manufacturer,auto_manufacturer,"[""services_and_business"",""business_to_business"",""manufacturer"",""auto_manufacturer""]",
33206,auto_parts_and_supply_store,specialty_store,auto_parts_store,"[""shopping"",""specialty_store"",""vehicle_parts_store"",""auto_parts_store""]",
12846,auto_restoration_services,vehicle_service,auto_restoration_service,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""auto_restoration_service""]",
1269,auto_security,vehicle_service,auto_security,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""auto_security""]",
3733,auto_upholstery,vehicle_service,auto_upholstery,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""auto_upholstery""]",
19605,automation_services,b2b_service,automation_service,"[""services_and_business"",""business_to_business"",""commercial_industrial"",""automation_service""]",
4993,automobile_leasing,vehicle_dealer,automobile_leasing,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automobile_leasing""]",
3646,automobile_registration_service,vehicle_service,automobile_registration_service,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""automobile_registration_service""]",
166047,automotive,transportation_location,automotive,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive""]",
8945,automotive_consultant,vehicle_service,automotive_consultant,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""automotive_consultant""]",
116802,automotive_dealer,vehicle_dealer,vehicle_dealer,"[""shopping"",""vehicle_dealer""]",
306009,automotive_parts_and_accessories,specialty_store,automotive_parts_and_accessories,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_parts_and_accessories""]",
895567,automotive_repair,auto_repair_service,automotive_repair,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""automotive_repair""]",
74830,automotive_services_and_repair,vehicle_service,automotive_services_and_repair,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair""]",
2560,automotive_storage_facility,storage_facility,automotive_storage_facility,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""automotive_storage_facility""]",
366,automotive_wheel_polishing_service,vehicle_service,automotive_wheel_polishing_service,"[""travel_and_transportation"",""automotive_and_ground_transport"",""automotive"",""automotive_services_and_repair"",""automotive_wheel_polishing_service""]",
307,aviation_museum,science_museum,aviation_museum,"[""arts_and_entertainment"",""museum"",""aviation_museum""]",
405,avionics_shop,air_transport_facility_service,avionics_shop,"[""travel_and_transportation"",""aircraft_and_air_transport"",""aircraft_parts_and_supplies"",""avionics_shop""]",
765,awning_supplier,b2b_supplier_distributor,awning_supplier,"[""services_and_business"",""business_to_business"",""supplier_distributor"",""awning_supplier""]",
25,axe_throwing,sport_fitness_facility,axe_throwing,"[""sports_and_recreation"",""adventure_sport"",""axe_throwing""]",
250,ayurveda,alternative_medicine,ayurveda,"[""health_care"",""ayurveda""]",
57,azerbaijani_restaurant,restaurant,azerbaijani_restaurant,"[""food_and_drink"",""restaurant"",""middle_eastern_restaurant"",""azerbaijani_restaurant""]",
78,b2b_agriculture_and_food,agricultural_service,b2b_agriculture_and_food,"[""services_and_business"",""business_to_business"",""b2b_agriculture_and_food""]",
5899,b2b_apparel,b2b_supplier_distributor,b2b_apparel,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""b2b_apparel""]",
173,b2b_autos_and_vehicles,b2b_supplier_distributor,b2b_autos_and_vehicles,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""b2b_autos_and_vehicles""]",
5946,b2b_cleaning_and_waste_management,b2b_service,b2b_cleaning_and_waste_management,"[""services_and_business"",""business_to_business"",""business_to_business_service"",""environmental_and_ecological_service_for_business"",""b2b_cleaning_and_waste_management""]",
78,b2b_dairies,farm,b2b_dairy,"[""services_and_business"",""business_to_business"",""b2b_agriculture_and_food"",""b2b_dairy""]",
12967,b2b_electronic_equipment,b2b_supplier_distributor,electronic_equipment_supplier,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""electronic_equipment_supplier""]",
792,b2b_energy_and_mining,b2b_service,b2b_energy_and_mining,"[""services_and_business"",""business_to_business"",""b2b_energy_and_mining""]",
566,b2b_equipment_maintenance_and_repair,b2b_supplier_distributor,b2b_equipment_maintenance_and_repair,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""b2b_machinery_and_tools"",""b2b_equipment_maintenance_and_repair""]",
12,b2b_farming,farm,b2b_farming,"[""services_and_business"",""business_to_business"",""b2b_agriculture_and_food"",""b2b_farming""]",
75,b2b_farms,farm,b2b_farm,"[""services_and_business"",""business_to_business"",""b2b_agriculture_and_food"",""b2b_farming"",""b2b_farm""]",
1142,b2b_food_products,agricultural_service,b2b_food_products,"[""services_and_business"",""business_to_business"",""b2b_agriculture_and_food"",""b2b_food_products""]",
471,b2b_forklift_dealers,vehicle_dealer,forklift_dealer,"[""shopping"",""vehicle_dealer"",""forklift_dealer""]",
473,b2b_furniture_and_housewares,b2b_supplier_distributor,b2b_furniture_and_housewares,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""b2b_furniture_and_housewares""]",
135,b2b_hardware,b2b_supplier_distributor,b2b_hardware,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""b2b_hardware""]",
16335,b2b_jewelers,b2b_supplier_distributor,b2b_jeweler,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""b2b_jeweler""]",
1340,b2b_machinery_and_tools,b2b_supplier_distributor,b2b_machinery_and_tools,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""b2b_machinery_and_tools""]",
207,b2b_medical_support_services,b2b_service,b2b_medical_support_service,"[""services_and_business"",""business_to_business"",""b2b_medical_support_service""]",
1009,b2b_oil_and_gas_extraction_and_services,oil_or_gas_facility,oil_and_gas_extraction,"[""services_and_business"",""business_to_business"",""b2b_energy_and_mining"",""oil_and_gas"",""oil_and_gas_extraction""]",
1541,b2b_rubber_and_plastics,b2b_supplier_distributor,b2b_rubber_and_plastics,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""b2b_rubber_and_plastics""]",
13389,b2b_science_and_technology,b2b_service,b2b_science_and_technology,"[""services_and_business"",""business_to_business"",""b2b_science_and_technology""]",
467,b2b_scientific_equipment,b2b_service,b2b_scientific_equipment,"[""services_and_business"",""business_to_business"",""b2b_science_and_technology"",""b2b_scientific_equipment""]",
338,b2b_sporting_and_recreation_goods,b2b_supplier_distributor,b2b_sporting_and_recreation_goods,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""b2b_sporting_and_recreation_goods""]",
100,b2b_storage_and_warehouses,b2b_service,b2b_storage,"[""services_and_business"",""business_to_business"",""business_storage_and_transportation"",""b2b_storage""]",
30564,b2b_textiles,b2b_supplier_distributor,b2b_textiles,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""b2b_textiles""]",
79,b2b_tires,b2b_supplier_distributor,b2b_tires,"[""services_and_business"",""business_to_business"",""business_manufacturing_and_supply"",""b2b_autos_and_vehicles"",""b2b_tires""]",
1666,b2b_tractor_dealers,b2b_supplier_distributor,tractor_dealer,"[""services_and_business"",""business_to_business"",""business_storage_and_transportation"",""truck_and_industrial_vehicle_services"",""tractor_dealer""]",
1395,b2b_truck_equipment_parts_and_accessories,b2b_supplier_distributor,truck_parts_and_accessories,"[""services_and_business"",""business_to_business"",""business_storage_and_transportation"",""truck_and_industrial_vehicle_services"",""truck_parts_and_accessories""]",
5467,baby_gear_and_furniture,specialty_store,baby_gear_and_furniture_store,"[""shopping"",""specialty_store"",""baby_gear_and_furniture_store""]",
70,back_shop,retail_location,shopping,"[""shopping""]",
67,backflow_services,home_service,backflow_service,"[""services_and_business"",""home_service"",""plumbing"",""backflow_service""]",
24,background_check_services,human_resource_service,background_check_service,"[""services_and_business"",""business_to_business"",""business_to_business_service"",""human_resource_service"",""background_check_service""]",
4,backpacking_area,recreational_trail,backpacking_area,"[""sports_and_recreation"",""park"",""backpacking_area""]",
3747,badminton_court,sport_court,badminton_court,"[""sports_and_recreation"",""sports_and_recreation_venue"",""badminton_court""]",
968,bagel_restaurant,casual_eatery,bagel_shop,"[""food_and_drink"",""casual_eatery"",""bagel_shop""]",
10312,bagel_shop,casual_eatery,bagel_shop,"[""food_and_drink"",""casual_eatery"",""bagel_shop""]",
1014,bags_luggage_company,specialty_store,bags_luggage_company,"[""services_and_business"",""business"",""bags_luggage_company""]",
6490,bail_bonds_service,bail_bonds_service,bail_bonds_service,"[""services_and_business"",""professional_service"",""bail_bonds_service""]",
535707,bakery,bakery,bakery,"[""food_and_drink"",""casual_eatery"",""bakery""]",
89,balloon_ports,airport,balloon_port,"[""travel_and_transportation"",""aircraft_and_air_transport"",""airport"",""balloon_port""]",
371,balloon_services,event_or_party_service,balloon_service,"[""services_and_business"",""professional_service"",""event_planning"",""balloon_service""]",
1521,bangladeshi_restaurant,restaurant,bangladeshi_restaurant,"[""food_and_drink"",""restaurant"",""asian_restaurant"",""south_asian_restaurant"",""bangladeshi_restaurant""]",
398302,bank_credit_union,financial_service,bank_credit_union,"[""services_and_business"",""financial_service"",""bank_credit_union""]",
415,bank_equipment_service,b2b_service,bank_equipment_service,"[""services_and_business"",""professional_service"",""bank_equipment_service""]",
7873,bankruptcy_law,attorney_or_law_firm,bankruptcy_law,"[""services_and_business"",""professional_service"",""lawyer"",""bankruptcy_law""]",
304559,banks,bank,bank,"[""services_and_business"",""financial_service"",""bank_credit_union"",""bank""]",
89609,baptist_church,christian_place_of_worshop,baptist_place_of_worshop,"[""cultural_and_historic"",""religious_organization"",""place_of_worship"",""christian_place_of_worshop"",""protestant_place_of_worship"",""baptist_place_of_worshop""]",
730509,bar,bar,bar,"[""food_and_drink"",""bar""]",
74962,bar_and_grill_restaurant,bar_and_grill,bar_and_grill_restaurant,"[""food_and_drink"",""restaurant"",""bar_and_grill_restaurant""]",
3,bar_crawl,social_club,bar_crawl,"[""arts_and_entertainment"",""nightlife_venue"",""bar_crawl""]",
130964,barbecue_restaurant,restaurant,barbecue_restaurant,"[""food_and_drink"",""restaurant"",""meat_restaurant"",""barbecue_restaurant""]",
387077,barber,barber_shop,barber,"[""lifestyle_services"",""beauty_service"",""barber""]",
364,barre_classes,fitness_studio,barre_class,"[""sports_and_recreation"",""sports_and_fitness_instruction"",""barre_class""]",
2566,bartender,event_or_party_service,bartender,"[""services_and_business"",""professional_service"",""event_planning"",""bartender""]",
649,bartending_school,specialty_school,bartending_school,"[""education"",""specialty_school"",""bartending_school""]",
18639,baseball_field,sport_field,baseball_field,"[""sports_and_recreation"",""sports_and_recreation_venue"",""baseball_field""]",
1401,baseball_stadium,sport_stadium,baseball_stadium,"[""arts_and_entertainment"",""stadium_arena"",""stadium"",""baseball_stadium""]",
8328,basketball_court,sport_court,basketball_court,"[""sports_and_recreation"",""sports_and_recreation_venue"",""basketball_court""]",
863,basketball_stadium,sport_stadium,basketball_stadium,"[""arts_and_entertainment"",""stadium_arena"",""stadium"",""basketball_stadium""]",
903,basque_restaurant,restaurant,basque_restaurant,"[""food_and_drink"",""restaurant"",""european_restaurant"",""iberian_restaurant"",""spanish_restaurant"",""basque_restaurant""]",
279,bathroom_fixture_stores,specialty_store,bathroom_fixture_store,"[""shopping"",""specialty_store"",""home_and_garden_store"",""kitchen_and_bath_store"",""bathroom_fixture_store""]",
6114,bathroom_remodeling,remodeling_service,bathroom_remodeling,"[""services_and_business"",""home_service"",""bathroom_remodeling""]",
